"Track","RaceNumber","HorsesRunning"
"BEL","4","9"
"BEL","5","11"
"BEL","6","10"
"BEL","7","11"
"BEL","9","9"
"BEL","10","14"
"EQC","1","9"
"EQC","3","9"
"GG","4","9"
"GG","6","9"
"GG","8","12"
"GPW","1","16"
"GPW","4","10"
"GPW","5","16"
"GPW","7","10"
"GPW","9","16"
"HAW","2","13"
"HAW","3","9"
"HAW","4","9"
"HAW","5","10"
"HAW","6","14"
"HAW","7","9"
"HAW","8","12"
"KEE","4","9"
"KEE","5","16"
"KEE","7","9"
"KEE","9","9"
"LRL","1","12"
"LRL","4","16"
"LRL","6","12"
"LRL","8","16"
"LS","1","10"
"LS","2","10"
"LS","4","11"
"LS","6","12"
"LS","7","12"
"LS","8","10"
"LS","9","12"
"LS","10","12"
"LS","11","12"
"LS","12","12"
"MNR","1","12"
"MNR","2","9"
"MNR","5","14"
"MNR","7","9"
"MNR","8","9"
"MNR","9","13"
"SA","7","9"
"SA","9","9"
"SA","10","9"
"WRD","2","9"
"WRD","9","9"
"WRD","10","9"
"WRD","12","9"
