"Track","RaceNumber","HorsesRunning"
"ALB","1","10"
"ALB","2","12"
"ALB","3","12"
"ALB","4","12"
"ALB","5","12"
"ALB","6","12"
"ALB","8","12"
"ALB","9","9"
"ALB","10","12"
"ARP","5","9"
"DMR","6","10"
"DMR","7","10"
"DMR","8","10"
"DMR","10","10"
"DMR","11","11"
"ELP","1","9"
"ELP","3","10"
"ELP","6","12"
"ELP","9","11"
"GG","9","9"
"GP","1","10"
"GP","4","10"
"GP","5","9"
"GP","6","11"
"GP","7","10"
"GP","8","14"
"GP","9","10"
"GP","11","11"
"LA","8","9"
"LRL","5","11"
"LRL","6","10"
"MNR","1","14"
"MNR","5","9"
"MNR","9","9"
"MTH","1","9"
"MTH","3","12"
"MTH","5","13"
"MTH","7","13"
"MTH","9","14"
"MTH","11","11"
"MTH","13","10"
"PRM","3","10"
"PRM","10","9"
"RUI","5","11"
"RUI","6","10"
"RUI","8","10"
"RUI","9","9"
"SAR","2","12"
"SAR","4","9"
"SAR","7","12"
"SAR","8","11"
"SAR","10","9"
"WYO","1","10"
"WYO","2","10"
"WYO","3","10"
"WYO","4","10"
"WYO","5","10"
"WYO","7","10"
"WYO","9","10"
"WYO","10","10"
"WYO","11","10"
