"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2021-07-14","AZD","FUTURITY ","1","Clever Conundrum","15-1"," 1 ","1","FTL","Corona Surfer"
"2021-07-14","AZD","FUTURITY ","1","Nitty Gritty Perry","3-1"," 2 ","2","FTL","Mr Jess Perry"
"2021-07-14","AZD","FUTURITY ","1","Eyesa Got Easyer","12-1"," 5 ","5","FTL","Volcom"
"2021-07-14","AZD","FUTURITY ","2","Magisterial","2-1"," 1 ","1","FTL","Seperate Interest"
"2021-07-14","AZD","FUTURITY ","2","Pretty Lethal Eagle","6-1"," 4 ","4","FTL","One Fabulous Eagle"
"2021-07-14","AZD","FUTURITY ","2","Texas First Icon","5-1"," 5 ","5","FTL","Texas Icon"
"2021-07-14","AZD","FUTURITY ","2","Sky High Prize","5-2"," 7 ","7","FTL","Fast Prize Cartel"
"2021-07-14","AZD","MAIDEN OPTIONAL CLAIMING($30,000) ","3","Chicken N Biscuit","5-1"," 1 ","1","FTL","Keen Ice"
"2021-07-14","AZD","MAIDEN OPTIONAL CLAIMING($30,000) ","3","R Thing","8-1"," 2 ","2","FTL","Boisterous"
"2021-07-14","AZD","MAIDEN OPTIONAL CLAIMING($30,000) ","3","Face of Grace","10-1"," 4 ","4","FTL","Grace Upon Grace"
"2021-07-14","AZD","MAIDEN OPTIONAL CLAIMING($30,000) ","3","Jokerin","6-1"," 6 ","6","FTL","Lotsa Mischief"
"2021-07-14","AZD","MAIDEN OPTIONAL CLAIMING($30,000) ","5","Danny's Big Boy","8-1"," 7 ","7","FTL","Astrology"
"2021-07-14","BTP","MAIDEN SPECIAL WEIGHT ","1","Country Club Bobby","4-1"," 5 ","5","FTL","Shanghai Bobby"
"2021-07-14","BTP","MAIDEN SPECIAL WEIGHT ","1","Stunt Man","8-1"," 9 ","9","FTL","Daredevil"
"2021-07-14","BTP","MAIDEN CLAIMING($5,000) ","8","Southern Oak","15-1"," 1 ","1","FTL","Giant Oak"
"2021-07-14","CBY","CLAIMING($10,000) ","1","Star Mission","12-1"," 2 ","2","FTL","Noble Mission*GB"
"2021-07-14","DED","MAIDEN ","1","Sweet Babe Cartel","15-1"," 3 ","3","FTL","Five Bar Cartel"
"2021-07-14","DED","MAIDEN CLAIMING($10,000) ","3","Carters Lil Paul","15-1"," 1 ","1","FTL","Carters Cartel"
"2021-07-14","DED","MAIDEN CLAIMING($10,000) ","3","Ah Twisted Sister","20-1"," 7 ","7","FTL","Dash to Lil Corona"
"2021-07-14","DED","MAIDEN CLAIMING($10,000) ","3","Mps Triple Shot","15-1"," 9 ","9","FTL","Triple Vodka"
"2021-07-14","DED","MAIDEN ","7","Coronas Courage","10-1"," 3 ","3","FTL","Open Me a Corona"
"2021-07-14","DEL","MAIDEN CLAIMING($16,000) ","2","Moniques Daredevil","8-1"," 1 ","1","FTL","Daredevil"
"2021-07-14","DEL","MAIDEN CLAIMING($16,000) ","2","Both Ways","3-1"," 4 ","4","FTL","Kitten's Joy"
"2021-07-14","EVD","MAIDEN SPECIAL WEIGHT ","3","Zydeco Red","10-1"," 4 ","4","FTL","Time Bandit"
"2021-07-14","EVD","MAIDEN SPECIAL WEIGHT ","3","Louisiana Thunder","8-1"," 6 ","6","FTL","Lone Star Special"
"2021-07-14","EVD","MAIDEN CLAIMING($10,000) ","8","Prayers Saved","6-1"," 3 ","3","FTL","Songandaprayer"
"2021-07-14","EVD","MAIDEN CLAIMING($10,000) ","8","My Avani","12-1"," 5 ","5","FTL","My Pal Charlie"
"2021-07-14","EVD","MAIDEN CLAIMING($10,000) ","8","Oak Hill Seniorita","6-1"," 7 ","7","FTL","Overanalyze"
"2021-07-14","HOU","MAIDEN CLAIMING($7,500) ","1","JODYMAN AA","6-1","7  ","8","FTL","ALLEGRO AA"
