"Track","RaceNumber","HorsesRunning"
"AP","7","9"
"AP","8","12"
"BTP","7","10"
"CBY","8","9"
"CT","8","9"
"DED","1","10"
"DED","3","9"
"DED","4","9"
"DED","5","9"
"DED","6","9"
"DED","7","9"
"DED","8","10"
"DED","9","10"
"DEL","3","9"
"DEL","4","9"
"DEL","7","11"
"EMD","4","9"
"EMD","5","11"
"EMD","9","12"
"EVD","1","10"
"EVD","5","11"
"EVD","7","11"
"EVD","8","9"
"EVD","9","11"
"GP","1","12"
"GP","2","14"
"GP","4","9"
"GP","6","10"
"GP","8","11"
"GP","10","14"
"IND","4","9"
"IND","5","9"
"IND","6","13"
"IND","7","10"
"IND","8","14"
"IND","9","12"
"IND","10","12"
"LRL","3","11"
"LRL","5","10"
"LRL","6","10"
"LRL","8","10"
"LRL","9","9"
"RET","1","9"
"RET","2","10"
"RET","3","9"
"RET","4","10"
"RET","5","9"
"RET","6","10"
"RET","7","10"
"RET","8","10"
"RET","9","9"
"RET","10","10"
"SAR","2","10"
"SAR","3","9"
"SAR","5","11"
"SAR","6","12"
"SAR","8","10"
"SAR","9","9"
"SAR","10","15"
"TDN","1","9"
