"Track","RaceNumber","HorsesRunning"
"CT","6","10"
"CT","8","11"
"DED","1","9"
"DED","3","12"
"DED","5","10"
"DED","8","10"
"DED","9","10"
"FG","1","9"
"FG","2","10"
"FG","4","9"
"FG","6","13"
"FG","8","9"
"FG","9","9"
"GG","7","13"
"GP","10","15"
"HOU","5","11"
"HOU","7","11"
"HOU","10","10"
"OP","2","9"
"OP","4","14"
"OP","6","14"
"OP","9","12"
"RP","3","10"
"RP","5","12"
"RP","7","10"
"RP","8","9"
"RP","10","10"
"TP","1","9"
"TP","2","9"
"TP","3","9"
"TP","4","10"
"TP","5","10"
"TP","6","9"
"TP","7","10"
"TP","8","10"
"TUP","1","10"
"TUP","5","9"
"TUP","8","11"
"TUP","9","10"
