"Track","RaceNumber","HorsesRunning"
"BEL","2","14"
"BEL","4","12"
"BEL","6","9"
"BEL","7","9"
"BEL","8","13"
"BEL","10","16"
"CD","4","10"
"CD","7","9"
"CD","8","11"
"CD","9","11"
"CD","10","12"
"CT","5","9"
"CT","8","9"
"DMR","6","13"
"DMR","9","14"
"EVD","2","10"
"EVD","4","10"
"EVD","5","10"
"EVD","7","10"
"EVD","8","10"
"EVD","9","10"
"GPW","1","16"
"GPW","3","16"
"GPW","4","12"
"GPW","5","16"
"GPW","6","9"
"GPW","7","12"
"GPW","9","13"
"HAW","1","9"
"HAW","2","12"
"HAW","3","9"
"HAW","4","13"
"HAW","6","14"
"HAW","9","14"
"LRL","2","12"
"LRL","4","9"
"LRL","5","14"
"LRL","6","13"
"LRL","7","12"
"LRL","8","16"
"LRL","9","9"
"LS","1","12"
"LS","4","9"
"LS","5","10"
"LS","6","10"
"LS","8","10"
"LS","9","12"
"LS","10","11"
"LS","11","12"
"MVR","3","9"
"MVR","4","9"
"MVR","5","10"
"MVR","8","11"
"MVR","9","9"
"MVR","10","12"
"RP","2","12"
"RP","3","9"
"RP","5","12"
"RP","6","10"
"RP","7","10"
"RP","8","10"
"WRD","7","9"
"WRD","8","10"
"WRD","9","9"
"WRD","11","10"
