"Track","RaceNumber","HorsesRunning"
"ALB","7","9"
"AP","6","9"
"AP","7","10"
"AP","8","11"
"DEL","7","14"
"DMR","5","12"
"DMR","7","9"
"DMR","8","10"
"DMR","9","10"
"DMR","10","10"
"DMR","11","11"
"ELP","1","9"
"ELP","6","12"
"ELP","8","11"
"ENG-CTM","4","9"
"ENG-CTM","7","10"
"EVD","5","11"
"EVD","6","9"
"EVD","8","9"
"EVD","9","11"
"FAN","3","10"
"FAN","8","9"
"FER","8","9"
"GIL","1","10"
"GIL","3","10"
"GIL","4","10"
"GIL","5","10"
"GIL","9","10"
"GIL","11","10"
"GIL","12","10"
"GP","1","13"
"GP","2","10"
"GP","5","9"
"GP","6","16"
"GP","7","10"
"GP","8","12"
"GP","9","11"
"GP","11","11"
"GP","12","13"
"LAD","4","9"
"LAD","6","10"
"MTH","1","10"
"MTH","4","9"
"MTH","5","9"
"MTH","9","15"
"MTH","10","11"
"MTH","11","9"
"MTH","13","9"
"RP","2","12"
"RP","3","10"
"RP","5","12"
"RP","6","12"
"RP","8","9"
"RP","9","12"
"RUI","1","10"
"RUI","2","10"
"RUI","3","9"
"RUI","4","10"
"RUI","7","9"
"SAR","1","12"
"SAR","3","9"
"SAR","5","9"
"SAR","6","12"
"SAR","10","9"
"SAR","13","16"
"SPL","1","9"
"SPL","2","10"
"SPL","3","9"
"SWF","1","10"
"SWF","7","9"
"SWF","8","10"
"SWF","9","10"
"TIM","7","9"
"TIM","8","9"
