"Track","RaceNumber","HorsesRunning"
"CD","5","9"
"CD","7","17"
"CD","8","9"
"CD","9","12"
"CD","10","9"
"EMD","7","9"
"EMD","8","9"
"EMD","9","9"
"EMD","10","9"
"FL","2","13"
"FL","3","15"
"FL","4","15"
"FL","5","15"
"FL","6","15"
"FL","7","12"
"FL","10","12"
"GPW","1","13"
"GPW","3","15"
"GPW","5","12"
"GPW","7","12"
"GPW","8","12"
"GPW","9","16"
"IND","1","14"
"IND","2","9"
"IND","3","10"
"IND","4","12"
"IND","5","13"
"IND","6","11"
"IND","8","14"
"IND","11","10"
"IND","12","12"
"MNR","1","9"
"MNR","2","9"
"MNR","5","10"
"MNR","7","10"
"MNR","9","12"
"MVR","8","13"
"PEN","2","9"
"PEN","3","10"
"PEN","6","9"
"PEN","9","9"
"PEN","11","11"
"PRX","4","10"
"PRX","5","10"
"PRX","6","14"
"PRX","7","10"
"PRX","8","12"
"PRX","9","13"
"PRX","11","11"
"RP","1","9"
"RP","2","12"
"RP","3","9"
"RP","5","12"
"RP","6","12"
"RP","7","12"
"RP","8","9"
"RP","9","11"
"ZIA","1","12"
"ZIA","2","12"
"ZIA","3","12"
"ZIA","4","11"
"ZIA","5","11"
"ZIA","6","12"
"ZIA","7","11"
"ZIA","8","10"
"ZIA","9","10"
