"Track","RaceNumber","HorsesRunning"
"EMD","9","9"
"FL","4","10"
"FL","5","9"
"FL","6","10"
"FL","8","11"
"GPW","1","16"
"GPW","3","12"
"GPW","5","9"
"GPW","6","11"
"GPW","7","9"
"GPW","8","11"
"IND","2","9"
"IND","4","14"
"IND","6","13"
"IND","7","11"
"IND","8","14"
"IND","9","11"
"IND","10","12"
"KEE","2","9"
"KEE","3","16"
"KEE","8","10"
"MNR","1","14"
"MNR","2","11"
"MNR","5","9"
"MNR","7","10"
"MNR","9","12"
"MTH","1","14"
"MTH","3","14"
"MTH","4","12"
"MTH","5","13"
"MTH","6","9"
"MTH","7","14"
"MTH","9","14"
"PEN","3","10"
"PID","1","14"
"PID","2","14"
"PID","3","14"
"PID","4","14"
"PID","5","12"
"PID","6","14"
"PID","7","9"
"PID","8","13"
"PID","9","12"
"PID","10","11"
"PRX","4","11"
"PRX","6","16"
"PRX","8","11"
"PRX","9","12"
"PRX","10","12"
"PRX","11","12"
"RP","2","12"
"RP","3","12"
"RP","4","9"
"RP","5","14"
"RP","6","12"
"RP","7","12"
"RP","8","10"
"RP","9","12"
"TDN","3","14"
"TDN","5","9"
"TDN","6","11"
"TDN","8","11"
"ZIA","1","10"
"ZIA","2","12"
"ZIA","3","12"
"ZIA","4","12"
"ZIA","5","12"
"ZIA","6","12"
"ZIA","7","11"
"ZIA","8","10"
"ZIA","10","12"
