"Track","RaceNumber","HorsesRunning"
"BTP","6","13"
"BTP","8","10"
"FL","2","11"
"FL","5","12"
"FL","6","14"
"FL","8","15"
"GRP","1","9"
"GRP","2","10"
"GRP","4","10"
"GRP","5","10"
"GRP","6","10"
"GRP","7","10"
"GRP","8","9"
"IND","4","9"
"IND","6","9"
"IND","8","10"
"IND","9","13"
"IND","10","12"
"LAD","1","13"
"LAD","2","14"
"LAD","3","14"
"LAD","4","13"
"LAD","5","14"
"LAD","6","14"
"LAD","7","13"
"LAD","8","14"
"MNR","1","11"
"MNR","2","10"
"MNR","3","14"
"MNR","5","12"
"MNR","6","12"
"MNR","7","9"
"MNR","9","12"
"PID","4","11"
"PID","5","10"
"PID","6","10"
"PID","8","13"
"PRX","2","9"
"PRX","4","11"
"PRX","6","12"
"PRX","7","14"
"PRX","10","9"
"TDN","1","11"
"TDN","3","9"
"TDN","8","9"
