"Track","RaceNumber","HorsesRunning"
"CT","5","12"
"CT","6","9"
"CT","7","9"
"CT","8","14"
"DED","1","10"
"DED","3","10"
"DED","5","10"
"DED","6","9"
"DED","7","10"
"DED","8","10"
"DED","9","9"
"DED","10","10"
"DEL","2","9"
"DEL","4","9"
"DEL","7","14"
"DEL","8","9"
"DMR","1","10"
"DMR","3","9"
"DMR","4","9"
"DMR","5","12"
"DMR","6","14"
"DMR","7","10"
"DMR","9","14"
"DMR","11","14"
"ELP","3","15"
"ELP","5","10"
"ELP","8","10"
"ELP","9","10"
"EVD","5","9"
"EVD","6","9"
"EVD","7","9"
"EVD","9","11"
"GIL","1","10"
"GIL","2","10"
"GIL","5","10"
"GIL","7","10"
"GIL","9","10"
"GP","1","11"
"GP","5","9"
"GP","8","9"
"GP","9","10"
"GP","10","9"
"GP","12","15"
"LAD","5","9"
"LRL","4","9"
"LRL","5","15"
"LRL","6","10"
"LRL","7","10"
"LRL","9","10"
"LRL","10","16"
"MTH","1","13"
"MTH","2","11"
"MTH","3","11"
"MTH","4","10"
"MTH","5","10"
"MTH","6","10"
"MTH","7","13"
"MTH","8","14"
"MTH","10","10"
"MTH","11","9"
"MTH","13","13"
"MTH","14","11"
"PRM","2","14"
"PRM","3","12"
"PRM","7","9"
"RET","3","10"
"RET","4","10"
"RET","5","10"
"RET","6","10"
"RET","7","10"
"RET","8","9"
"RET","9","10"
"RET","10","10"
"RUI","1","9"
"RUI","2","12"
"RUI","3","10"
"RUI","4","12"
"RUI","5","10"
"RUI","6","12"
"RUI","7","9"
"RUI","8","10"
"RUI","9","11"
"RUI","10","10"
"RUI","11","12"
"SAR","5","11"
"SAR","6","10"
"SAR","8","9"
"SAR","9","9"
"SAR","11","11"
"WYO","1","10"
"WYO","2","9"
"WYO","6","9"
"WYO","7","10"
"WYO","8","10"
"WYO","9","10"
"WYO","10","10"
