"Track","RaceNumber","HorsesRunning"
"BEL","6","10"
"BEL","9","9"
"DED","1","10"
"DED","5","10"
"DED","7","10"
"DED","9","10"
"DEL","4","9"
"DEL","7","14"
"FL","6","9"
"FL","8","11"
"FMT","12","9"
"GRP","3","10"
"GRP","5","10"
"GRP","7","10"
"GRP","9","9"
"LAD","1","9"
"LAD","4","13"
"LAD","6","9"
"LS","1","9"
"LS","8","10"
"LS","9","9"
"MNR","1","12"
"MNR","2","9"
"MNR","8","9"
"PID","1","9"
"PID","2","10"
"PID","4","13"
"PID","5","14"
"PID","7","12"
"PID","8","14"
"PLN","7","9"
"PRM","7","10"
"PRM","8","9"
"PRM","9","10"
"PRX","4","10"
"PRX","6","9"
"PRX","8","13"
"PRX","9","9"
"PRX","10","16"
"TDN","1","10"
"TDN","2","10"
