"Track","RaceNumber","HorsesRunning"
"AP","4","9"
"AP","6","10"
"AP","7","10"
"AP","8","11"
"BEL","1","9"
"BEL","5","10"
"BEL","6","9"
"BEL","7","9"
"BEL","9","9"
"BEL","10","12"
"CD","1","10"
"CD","2","16"
"CD","3","12"
"CD","4","9"
"CD","6","11"
"CD","8","10"
"CD","9","11"
"CD","10","10"
"CD","11","9"
"CD","12","13"
"CT","7","9"
"CT","8","9"
"DEL","3","14"
"DEL","5","14"
"DEL","7","9"
"EDR","2","10"
"EDR","4","10"
"EDR","6","10"
"EDR","8","10"
"EVD","5","10"
"EVD","6","9"
"EVD","7","9"
"EVD","9","10"
"FMT","3","10"
"FMT","11","10"
"FMT","12","9"
"GP","2","11"
"GP","7","10"
"GP","8","10"
"GP","9","9"
"GP","10","10"
"GP","12","16"
"LAD","4","10"
"LAD","7","9"
"LRC","7","9"
"LRC","9","10"
"LS","7","10"
"LS","9","10"
"LS","10","12"
"MTH","3","9"
"MTH","7","10"
"MTH","9","14"
"MTH","10","10"
"MTH","11","10"
"PIM","5","9"
"PIM","6","11"
"PIM","7","9"
"PRM","8","9"
"PRM","9","9"
"PRM","10","12"
"PW","1","9"
"PW","2","12"
"PW","5","11"
"PW","6","10"
"RUI","1","10"
"RUI","2","10"
"RUI","3","10"
"RUI","4","10"
"RUI","5","10"
"RUI","7","10"
"RUI","9","10"
"RUI","10","10"
"TDN","1","10"
"TDN","2","10"
"TDN","5","11"
"TDN","6","10"
"TDN","7","10"
"TDN","8","9"
"TDN","9","11"
"TDN","10","10"
"WYO","1","10"
"WYO","3","9"
"WYO","7","9"
