"Track","RaceNumber","HorsesRunning"
"GRP","2","10"
"GRP","3","10"
"GRP","4","10"
"GRP","5","10"
"GRP","6","10"
"GRP","7","10"
"GRP","8","10"
"GRP","9","10"
"GRP","10","9"
"IND","3","9"
"IND","5","11"
"IND","6","10"
"IND","7","14"
"IND","8","10"
"IND","10","11"
"MNR","1","14"
"MNR","2","14"
"MNR","4","9"
"MNR","5","10"
"MNR","6","10"
"MNR","9","14"
"MVR","4","10"
"MVR","5","9"
"MVR","6","9"
"MVR","7","9"
"MVR","8","9"
"PRX","3","9"
"PRX","4","10"
"PRX","7","13"
"PRX","8","11"
"PRX","9","11"
"PRX","10","14"
"ZIA","1","12"
"ZIA","2","12"
"ZIA","3","12"
"ZIA","4","10"
"ZIA","5","10"
"ZIA","6","12"
"ZIA","7","10"
"ZIA","8","12"
"ZIA","9","10"
"ZIA","10","10"
