"Track","RaceNumber","HorsesRunning"
"BEL","2","16"
"BEL","3","10"
"BEL","5","14"
"BEL","6","16"
"BEL","7","15"
"BEL","8","15"
"BEL","10","14"
"CD","8","9"
"CD","10","12"
"EMD","9","9"
"EMD","10","9"
"GG","9","10"
"GP","1","11"
"GP","5","9"
"GP","10","10"
"LRC","8","10"
"LRC","9","12"
"LRC","10","11"
"LRL","1","10"
"LRL","4","12"
"LRL","5","10"
"LRL","7","9"
"LRL","8","13"
"MNR","1","10"
"MNR","3","12"
"MNR","6","10"
"MNR","8","10"
"MTH","1","10"
"MTH","3","10"
"MTH","5","14"
"MTH","6","9"
"MTH","7","10"
"MTH","9","15"
"MTH","11","10"
"MTH","13","12"
"RP","9","9"
"RP","10","9"
"RP","12","12"
"SWF","1","10"
"SWF","2","10"
"SWF","3","10"
"SWF","4","10"
"SWF","5","10"
"SWF","6","10"
"SWF","10","9"
"WRD","4","10"
"WRD","5","10"
"WRD","9","10"
"WRD","10","10"
"ZIA","4","9"
"ZIA","5","10"
"ZIA","8","9"
"ZIA","11","9"
