"Track","RaceNumber","HorsesRunning"
"ALB","1","10"
"ALB","2","12"
"ALB","3","12"
"ALB","5","10"
"ALB","6","11"
"ALB","9","9"
"AP","6","9"
"AP","7","10"
"AP","8","11"
"ARP","7","9"
"BEL","6","9"
"BEL","9","14"
"BTP","8","9"
"CBY","1","14"
"CBY","2","10"
"CBY","4","14"
"CBY","6","10"
"CBY","7","11"
"CBY","8","9"
"CBY","9","10"
"CBY","10","11"
"CBY","11","9"
"CBY","12","12"
"CBY","13","11"
"CD","1","10"
"CD","3","9"
"CD","4","10"
"CD","5","16"
"CD","6","9"
"CD","8","13"
"DEL","3","13"
"DEL","5","9"
"DEL","7","10"
"EVD","1","14"
"EVD","3","11"
"EVD","4","13"
"EVD","5","11"
"EVD","6","11"
"EVD","9","11"
"GP","1","9"
"GP","3","9"
"GP","4","9"
"GP","6","9"
"GP","7","9"
"GP","8","10"
"IND","5","9"
"IND","7","11"
"IND","8","10"
"IND","9","12"
"LRL","2","11"
"LRL","4","13"
"LRL","6","16"
"LRL","7","12"
"LRL","8","12"
"LRL","10","10"
"PID","7","10"
"RP","2","10"
"RP","5","10"
"RP","7","11"
"RP","8","10"
