"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2020-12-15","DED","MAIDEN SPECIAL WEIGHT ","3","Ugottago","12-1"," 1 ","1","FTL","Greeley's Galaxy"
"2020-12-15","DED","MAIDEN SPECIAL WEIGHT ","3","Social Galaxy","8-1"," 2 ","2","FTL","Greeley's Galaxy"
"2020-12-15","DED","MAIDEN SPECIAL WEIGHT ","3","Special Mischief","6-1"," 4 ","4","FTL","Koh I Noor"
"2020-12-15","DED","MAIDEN SPECIAL WEIGHT ","3","Honor and Respect","3-1"," 5 ","5","FTL","To Honor and Serve"
"2020-12-15","DED","MAIDEN SPECIAL WEIGHT ","3","Emeraldwaters","10-1"," 6 ","6","FTL","Space Shot"
"2020-12-15","DED","MAIDEN CLAIMING($10,000) ","9","Blue Ridge Moon","10-1"," 1 ","1","FTL","Will Take Charge"
"2020-12-15","DED","MAIDEN CLAIMING($10,000) ","9","Romantic Beast","15-1"," 3 ","3","FTL","The Big Beast"
"2020-12-15","DED","MAIDEN CLAIMING($10,000) ","9","My Little Anita","10-1"," 5 ","5","FTL","Drill"
"2020-12-15","DED","MAIDEN CLAIMING($10,000) ","9","Firstslate","15-1"," 8 ","8","FTL","First Samurai"
"2020-12-15","DED","MAIDEN CLAIMING($10,000) ","9","Kenya Strike","12-1"," 9 ","9","FTL","Tenpins"
"2020-12-15","DED","MAIDEN CLAIMING($10,000) ","9","Kleinmeister","15-1","10 ","10","FTL","Bodemeister"
"2020-12-15","DED","MAIDEN CLAIMING($10,000) ","9","Ruby Stiletto","30-1","11 ","11","FTL","Maclean's Music"
"2020-12-15","MNR","MAIDEN SPECIAL WEIGHT ","3","Noontime Train","20-1"," 3 ","3","FTL","Bullet Train*GB"
"2020-12-15","MVR","MAIDEN SPECIAL WEIGHT ","3","Sameolsongndance","5-2"," 2 ","2","FTL","Quick Change"
"2020-12-15","MVR","MAIDEN SPECIAL WEIGHT ","3","Queen Air","7-2"," 4 ","4","FTL","Vaquero"
"2020-12-15","MVR","MAIDEN SPECIAL WEIGHT ","3","Merrie Music","2-1"," 7 ","7","FTL","Music City"
"2020-12-15","ZIA","MAIDEN ","1","Ez On My Mind","15-1"," 6 ","6","FTL","Genuine Strawfly"
"2020-12-15","ZIA","MAIDEN SPECIAL WEIGHT ","10","Lemon Drop Gold","15-1"," 3 ","3","FTL","Mr. Gold Mover"
"2020-12-15","ZIA","MAIDEN SPECIAL WEIGHT ","10","Texana","15-1","11 ","11","FTL","Attila's Storm"
