"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2020-11-10","GRP","1","Dirt","Wings of Wisdom"," 1 ","1","8-1","Patrick Henry, Jr.","Teri Beckner"
"2020-11-10","GRP","1","Dirt","Softstar"," 2 ","2","12-1","Michael Ybarra","Roberta Lewis"
"2020-11-10","GRP","1","Dirt","Real Changes"," 3 ","3","5-1","Jose Figueroa","Darlene Braden"
"2020-11-10","GRP","1","Dirt","Racing Ray"," 4 ","4","7-5","Taylor Smith","Jaqueline Smith"
"2020-11-10","GRP","1","Dirt","Burton Ernie"," 5 ","5","7-2","Allyssa Morales","Tim Abraham"
"2020-11-10","GRP","1","Dirt","Quatorze Stone"," 6 ","6","12-1","Jaime Lopez","Juan Marquez"
"2020-11-10","GRP","1","Dirt","Bobbygenesjustice"," 7 ","7","3-1","James Wooten, Jr.","Cindy Hoover"
"2020-11-10","GRP","2","Dirt","In My Sight"," 1 ","1","5-1","Jose Figueroa","John Selvester"
"2020-11-10","GRP","2","Dirt","Smokey Bar"," 2 ","2","4-1","Michael Ybarra","Quinn Howey"
"2020-11-10","GRP","2","Dirt","Inquisition"," 3 ","3","9-2","Luis Gonzalez","Nick Lowe"
"2020-11-10","GRP","2","Dirt","Away He Goes"," 4 ","4","6-1","Cerapio Figueroa","Jorge Rosales"
"2020-11-10","GRP","2","Dirt","Bob Again"," 5 ","5","8-1","Taylor Smith","Jaqueline Smith"
"2020-11-10","GRP","2","Dirt","Freestone"," 6 ","6","7-2","David Martin","Rigoberto Velasquez"
"2020-11-10","GRP","2","Dirt","Flawless Clyde"," 7 ","7","8-1","James Wooten, Jr.","W. Whitehouse"
"2020-11-10","GRP","2","Dirt","Pasco"," 8 ","8","10-1","Roman Preciado","Cynthia Winschell"
"2020-11-10","GRP","3","Dirt","Tinys Sharpie"," 1 ","1","12-1","Roman Preciado","Diego Guerrero"
"2020-11-10","GRP","3","Dirt","Gc Lucky Cartel Dude"," 2 ","2","10-1","Joree Scriver","Scott Raley"
"2020-11-10","GRP","3","Dirt","Dazzling Irish Chick"," 3 ","3","12-1","Luis Gonzalez","Benito Curiel"
"2020-11-10","GRP","3","Dirt","Unique Tap"," 4 ","4","12-1","Taylor Smith","Jose Rosales Gomez"
"2020-11-10","GRP","3","Dirt","Revnetta"," 5 ","5","8-1","Allyssa Morales","Billy Christian"
"2020-11-10","GRP","3","Dirt","Zoomin for the Crown"," 6 ","6","6-1","Jose Guerrero","Emilio Guerrero"
"2020-11-10","GRP","3","Dirt","Junes Light"," 7 ","7","7-2","Jose Figueroa","Bret Layne"
"2020-11-10","GRP","3","Dirt","Ultima Esperanza"," 8 ","8","4-1","Cerapio Figueroa","Damian Herrera"
"2020-11-10","GRP","3","Dirt","Tionesta"," 9 ","9","10-1","Jaime Lopez","Jose Rosales Gomez"
"2020-11-10","GRP","3","Dirt","Queen of Rs","10 ","10","9-2","Eduardo Gutierrez-Sosa","Rosa Rodriguez"
"2020-11-10","GRP","4","Dirt","One Flyin Foose"," 1 ","1","9-2","Jaime Lopez","Freddy Ibarra"
"2020-11-10","GRP","4","Dirt","Hez Our Joy"," 2 ","2","15-1","Jose Borbonos","Erasmo Soto"
"2020-11-10","GRP","4","Dirt","Favorite Bling"," 3 ","3","3-1","Cerapio Figueroa","Juan Romo, Jr."
"2020-11-10","GRP","4","Dirt","Shesa Dashair"," 4 ","4","5-1","Jose Lopez","Ricardo Mariles-Santos"
"2020-11-10","GRP","4","Dirt","Heza Southern Cartel"," 5 ","5","12-1","Eduardo Gutierrez-Sosa","Damian Herrera"
"2020-11-10","GRP","4","Dirt","Fooses Flyer"," 6 ","6","7-2","Luis Gonzalez","Benito Curiel"
"2020-11-10","GRP","4","Dirt","Ima Five Bar Cartel"," 7 ","7","10-1","Michael Ybarra","Jose Rosales Gomez"
"2020-11-10","GRP","4","Dirt","Mighty Tony T"," 8 ","8","8-1","Taylor Smith","Freddy Ibarra"
"2020-11-10","GRP","4","Dirt","She Zooms"," 9 ","9","10-1","Jose Figueroa","Treece Figueroa"
"2020-11-10","GRP","4","Dirt","Gc Harrys Game","10 ","10","12-1","Joree Scriver","Scott Raley"
"2020-11-10","GRP","5","Dirt","King of Wishes"," 1 ","1","9-2","Michael Ybarra","Jason Homer"
"2020-11-10","GRP","5","Dirt","Officer of War"," 2 ","2","2-1","Joree Scriver","Charles Essex"
"2020-11-10","GRP","5","Dirt","Blameitonbeckett"," 3 ","3","15-1","Nakia Ramirez","Kyndra McKinney"
"2020-11-10","GRP","5","Dirt","Slewpy Jo"," 4 ","4","12-1","Eduardo Gutierrez-Sosa","Dustie Crystal"
"2020-11-10","GRP","5","Dirt","Heavy Haul"," 5 ","5","5-1","Mckenzie King","Travis Wheeler"
"2020-11-10","GRP","5","Dirt","Rhodyisarockstar"," 6 ","6","8-1","Patrick Henry, Jr.","Teri Beckner"
"2020-11-10","GRP","5","Dirt","Baja Babe"," 7 ","7","15-1","Deudis Pena-Mora","Gilbert Daniels"
"2020-11-10","GRP","5","Dirt","Being a Boss"," 8 ","8","10-1","Jose Figueroa","John Harris"
"2020-11-10","GRP","5","Dirt","Packrat Brant"," 9 ","9","6-1","Taylor Smith","Larry Stewart"
"2020-11-10","GRP","5","Dirt","Wild Plan","10 ","10","8-1","Daniel Aguilar","Jim Gilmour"
"2020-11-10","GRP","6","Dirt","North Fork"," 1 ","1","9-2","Mckenzie King","Quinn Howey"
"2020-11-10","GRP","6","Dirt","Mister G. Q."," 2 ","2","10-1","Allyssa Morales","Darlene Braden"
"2020-11-10","GRP","6","Dirt","Sparkling Starr"," 3 ","3","12-1","Michael Ybarra","Jason Homer"
"2020-11-10","GRP","6","Dirt","Riptide Romeo"," 4 ","4","8-1","Joree Scriver","Charles Essex"
"2020-11-10","GRP","6","Dirt","Mini Bar"," 5 ","5","3-1","Deudis Pena-Mora","Daniel Kenney"
"2020-11-10","GRP","6","Dirt","Snicker'n Dan"," 6 ","6","6-1","David Martin","Teri Beckner"
"2020-11-10","GRP","6","Dirt","Caballerango"," 7 ","7","10-1","Taylor Smith","Juan Marquez"
