"Track","RaceNumber","HorsesRunning"
"AQU","1","13"
"AQU","3","16"
"AQU","4","10"
"AQU","5","14"
"AQU","6","16"
"AQU","7","14"
"AQU","8","11"
"AQU","9","12"
"AQU","10","13"
"CD","4","13"
"CD","5","10"
"CD","6","9"
"CD","7","12"
"CD","9","12"
"DED","1","10"
"DED","3","12"
"DED","5","9"
"DED","6","11"
"DED","7","9"
"DED","8","11"
"DED","9","10"
"DED","10","12"
"DMR","5","9"
"DMR","6","9"
"DMR","8","12"
"EQA","1","11"
"EQA","5","9"
"EVD","7","9"
"EVD","8","10"
"GG","9","9"
"GP","4","9"
"GP","6","9"
"GP","7","9"
"GP","9","9"
"HAW","2","14"
"HAW","3","9"
"HAW","4","10"
"HAW","5","10"
"HAW","7","9"
"HAW","8","10"
"LRL","1","16"
"LRL","5","9"
"LRL","6","16"
"LRL","7","11"
"LS","3","10"
"LS","5","10"
"LS","6","10"
"LS","7","12"
"LS","8","10"
"LS","9","10"
"LS","10","10"
"LS","11","11"
"RP","2","9"
"RP","5","9"
"RP","6","10"
"RP","7","12"
"RP","9","9"
"TUP","1","9"
"TUP","7","11"
