"Track","RaceNumber","HorsesRunning"
"BEL","4","12"
"BEL","6","11"
"BEL","7","9"
"BEL","9","15"
"BTP","3","14"
"BTP","6","9"
"BTP","8","16"
"CD","1","9"
"CD","4","9"
"CD","5","15"
"CD","6","11"
"CD","7","15"
"CD","8","13"
"CD","9","12"
"CT","5","12"
"CT","6","9"
"CT","7","11"
"CT","8","12"
"DED","1","10"
"DED","3","10"
"DED","5","10"
"DED","7","10"
"DED","8","9"
"DED","9","10"
"DED","10","10"
"EQA","1","16"
"EQA","3","11"
"EQA","4","16"
"EQA","5","16"
"EVD","5","9"
"EVD","6","11"
"EVD","7","10"
"EVD","9","12"
"FMT","11","9"
"GP","1","9"
"GP","2","9"
"GP","4","12"
"GP","7","13"
"GP","9","16"
"KDF","5","24"
"LRC","6","9"
"LRC","8","12"
"LRL","2","12"
"LRL","4","16"
"LRL","5","10"
"LRL","6","16"
"LRL","7","11"
"LRL","8","16"
"LRL","10","14"
"PEN","2","12"
"PEN","3","12"
"PEN","4","12"
"PEN","8","12"
"PEN","9","10"
"PLN","7","9"
"PRM","2","10"
"PRM","9","9"
"RUI","1","10"
"RUI","3","11"
"RUI","5","12"
"RUI","6","12"
"RUI","7","12"
"RUI","9","12"
"RUI","10","12"
"RUI","11","10"
