"Track","RaceNumber","HorsesRunning"
"ARP","7","9"
"BTP","7","10"
"BTP","8","9"
"CT","3","10"
"DEL","3","14"
"DEL","5","12"
"DEL","7","14"
"EVD","2","9"
"EVD","3","10"
"EVD","4","10"
"EVD","6","10"
"EVD","7","10"
"EVD","8","10"
"FL","3","9"
"IND","4","14"
"IND","5","14"
"IND","6","13"
"IND","7","12"
"IND","8","10"
"IND","9","11"
"MNR","1","12"
"MNR","2","12"
"MNR","3","11"
"MNR","8","9"
"PID","4","12"
"PID","8","10"
"PRX","4","10"
"PRX","8","11"
"PRX","10","9"
"RP","4","9"
"RP","6","11"
"RP","7","10"
"RP","9","11"
"TDN","7","9"
