"Track","RaceNumber","HorsesRunning"
"AQU","2","13"
"AQU","4","9"
"AQU","5","16"
"AQU","7","16"
"AQU","8","13"
"AQU","9","15"
"CT","2","10"
"CT","4","9"
"CT","5","12"
"CT","6","10"
"CT","7","10"
"CT","8","9"
"CT","9","14"
"EQA","1","9"
"EQA","3","9"
"EQA","5","16"
"EVD","1","10"
"EVD","3","10"
"EVD","4","10"
"EVD","5","10"
"EVD","6","10"
"EVD","7","10"
"EVD","8","10"
"EVD","9","10"
"FG","2","9"
"FG","3","9"
"FG","4","12"
"FG","6","16"
"FG","7","10"
"FG","8","12"
"FG","9","11"
"GP","1","9"
"GP","6","14"
"GP","10","16"
"LA","1","10"
"LRC","2","10"
"LRC","3","12"
"LRC","4","9"
"LRC","5","9"
"LRC","6","9"
"LRC","7","10"
"LRC","8","9"
"LRL","7","9"
"LRL","8","9"
"LRL","9","9"
"MVR","3","9"
"MVR","4","9"
"MVR","5","10"
"MVR","6","10"
"MVR","7","10"
"MVR","8","9"
"PEN","3","12"
"PEN","4","10"
"PEN","6","10"
"PEN","8","10"
"PEN","10","9"
"RP","9","12"
"TAM","3","10"
"TAM","4","9"
"TAM","8","12"
"TAM","9","14"
"TP","1","9"
"TP","2","14"
"TP","3","11"
"TP","4","10"
"TP","5","14"
"TP","6","14"
"TP","7","14"
"TP","8","14"
