"Track","RaceNumber","HorsesRunning"
"AQU","5","9"
"AQU","7","10"
"AQU","8","9"
"AQU","9","13"
"CT","2","9"
"CT","4","10"
"CT","5","12"
"CT","6","9"
"CT","8","11"
"EQC","1","12"
"EQC","2","9"
"EQC","3","11"
"FG","2","11"
"FG","4","9"
"FG","5","14"
"FG","6","9"
"FG","7","9"
"FG","8","11"
"FG","9","12"
"FG","11","11"
"FG","12","9"
"FG","13","13"
"GG","8","9"
"GP","1","10"
"GP","5","11"
"GP","7","14"
"GP","9","14"
"GP","10","9"
"GP","12","15"
"HOU","2","9"
"HOU","5","13"
"HOU","7","10"
"HOU","8","9"
"HOU","9","10"
"LA","5","9"
"LA","8","10"
"LAD","3","10"
"LAD","5","9"
"LRL","2","9"
"LRL","5","10"
"LRL","6","9"
"LRL","8","10"
"MVR","4","9"
"MVR","5","9"
"MVR","6","9"
"MVR","7","11"
"MVR","8","11"
"SA","1","14"
"SA","6","10"
"SA","7","9"
"SA","8","12"
"SA","9","11"
"TAM","4","14"
"TAM","5","9"
"TAM","6","10"
"TAM","7","11"
"TAM","8","14"
"TAM","10","14"
"TP","1","14"
"TP","2","9"
"TP","3","9"
"TP","4","13"
"TP","5","11"
"TP","6","14"
"TP","8","14"
