"Track","RaceNumber","HorsesRunning"
"BEL","5","9"
"BEL","7","11"
"BEL","10","16"
"EQC","1","9"
"EQC","3","12"
"EQC","4","9"
"GG","9","9"
"GPW","1","16"
"GPW","4","12"
"GPW","6","16"
"GPW","8","15"
"GPW","9","11"
"HAW","3","11"
"HAW","4","14"
"HAW","6","14"
"HAW","7","10"
"HAW","8","11"
"KEE","5","9"
"KEE","7","11"
"KEE","8","12"
"KEE","9","11"
"LA","8","9"
"LRL","1","15"
"LRL","3","13"
"LRL","4","13"
"LRL","6","13"
"LRL","7","13"
"LS","1","10"
"LS","2","9"
"LS","3","9"
"LS","4","10"
"LS","6","11"
"LS","8","10"
"LS","9","12"
"LS","10","12"
"LS","11","12"
"LS","12","12"
"MNR","1","14"
"MNR","2","13"
"MNR","3","13"
"MNR","5","11"
"MNR","7","10"
"MNR","8","9"
"MNR","9","10"
"MR","3","10"
"MR","4","10"
"MR","5","10"
"SA","5","9"
"SA","8","9"
"SA","9","12"
"WRD","1","10"
"WRD","5","10"
"WRD","8","10"
"WRD","9","10"
"WRD","11","10"
