"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-11-30","EVD","1","Dirt","My High Card"," 1 ","1","2-1","Everardo Rodriguez","Martin Trejo"
"2021-11-30","EVD","1","Dirt","Jj Jess a Patriot"," 2 ","2","6-1","Luciano Duenez","Manuel Macias"
"2021-11-30","EVD","1","Dirt","Shezadashingreatness"," 3 ","3","7-2","Jose Rodriguez","Orlando Orozco"
"2021-11-30","EVD","1","Dirt","One Sweet Lover"," 4 ","4","5-2","Arturo Alvarez","Gilberto Rosales"
"2021-11-30","EVD","1","Dirt","Eyein the Radar"," 5 ","5","10-1","Jorge Garcia","Martin Gallegos"
"2021-11-30","EVD","1","Dirt","Never Sweet"," 6 ","6","9-2","Rolando Cabrera","Preston Jourdan"
"2021-11-30","EVD","2","Dirt","Lil Boo"," 1 ","1","2-1","Everardo Rodriguez","Phillip Calais, Jr."
"2021-11-30","EVD","2","Dirt","Js Goldndrina"," 2 ","2","9-2","Rolando Cabrera","Jerry Cezar"
"2021-11-30","EVD","2","Dirt","Swingin Martini"," 3 ","3","7-2","Ubaldo Luna","Preston Jourdan"
"2021-11-30","EVD","2","Dirt","Fast Southern Prize"," 4 ","4","12-1","Heriberto Aguilar-Orozco","Noe Sanchez"
"2021-11-30","EVD","2","Dirt","B Rads Corona"," 5 ","5","9-5","Jose Rodriguez","Manuel Macias"
"2021-11-30","EVD","2","Dirt","Jj Shazoomin"," 6 ","6","10-1","Ricardo Hernandez, Jr.","Jose Carrizales"
"2021-11-30","EVD","3","Dirt","Fast Dashin Fefe"," 1 ","1","12-1","Mario Trujillo","Kevin Broussard"
"2021-11-30","EVD","3","Dirt","Filled With Grace"," 2 ","2","9-5","Ubaldo Luna","Benjamin Wilbanks"
"2021-11-30","EVD","3","Dirt","Magic Knight"," 3 ","3","2-1","Arturo Alvarez","Gilberto Rosales"
"2021-11-30","EVD","3","Dirt","The Louisiana Train"," 4 ","4","6-1","Leonardo Rodriguez","David Bustamante"
"2021-11-30","EVD","3","Dirt","Jess Chasin Chicks"," 5 ","5","3-1","Gilbert Ortiz","Vann Haywood"
"2021-11-30","EVD","3","Dirt","The Copilot"," 6 ","6","10-1","Rolando Cabrera","Guadalupe Garza, Jr."
"2021-11-30","EVD","4","Dirt","Ace Up His Sleeve"," 1 ","1","6-1","Floriberto Maldonado","Fernando Lopez"
"2021-11-30","EVD","4","Dirt","Runacrossyourmind"," 2 ","2","7-2","Luciano Duenez","Jose Lopez"
"2021-11-30","EVD","4","Dirt","An Incredible Moment"," 3 ","3","5-2","Everardo Rodriguez","Martin Trejo"
"2021-11-30","EVD","4","Dirt","Xdw Sheez Sweet"," 4 ","4","3-1","Mario Trujillo","Kevin Broussard"
"2021-11-30","EVD","4","Dirt","The Louisiana Pilot"," 5 ","5","10-1","Noe Castaneda","Miguel Rodriguez"
"2021-11-30","EVD","4","Dirt","Ekg One Sweet Wagon"," 6 ","6","15-1","Gilbert Ortiz","Vann Haywood"
"2021-11-30","EVD","4","Dirt","Bt Gotta Run"," 7 ","7","12-1","Arturo Alvarez","Robert Touchet"
"2021-11-30","EVD","4","Dirt","Diamonds N Coronas"," 8 ","8","5-1","Jorge Garcia","Martin Gallegos"
"2021-11-30","EVD","5","Dirt","Firefighter Captian"," 1 ","1","10-1","Jose Rodriguez","Orlando Orozco"
"2021-11-30","EVD","5","Dirt","Escandalo"," 2 ","2","4-1","Ricardo Hernandez, Jr.","Jose Carrizales"
"2021-11-30","EVD","5","Dirt","Da Pool Do"," 3 ","3","5-1","Leonardo Rodriguez","Willie Simien, Jr."
"2021-11-30","EVD","5","Dirt","Strut for Petes Sake"," 4 ","4","8-5","Luciano Duenez","Manuel Macias"
"2021-11-30","EVD","5","Dirt","Packin a Punch"," 5 ","5","2-1","Everardo Rodriguez","Rosendo Valdez Jr."
"2021-11-30","EVD","5","Dirt","Amabelle"," 6 ","6","12-1","Rolando Cabrera","Ruben Chavez"
"2021-11-30","EVD","6","Dirt","Jet Kisses"," 1 ","1","15-1","Mario Trujillo","Sanford Anderson"
"2021-11-30","EVD","6","Dirt","Jess Shalish Blue"," 2 ","2","5-1","Everardo Rodriguez","Phillip Calais, Jr."
"2021-11-30","EVD","6","Dirt","Special Dashing Miss"," 3 ","3","12-1","Jorge Garcia","Martin Gallegos"
"2021-11-30","EVD","6","Dirt","Jrs Martini Tee"," 4 ","4","8-1","Jasiel Aquino","Oscar Nunez"
"2021-11-30","EVD","6","Dirt","Highest Achievements"," 5 ","5","15-1","Leonardo Rodriguez","Jason Magnon"
"2021-11-30","EVD","6","Dirt","Freighttrain Six"," 6 ","6","9-2","Rolando Cabrera","Ruben Chavez"
"2021-11-30","EVD","6","Dirt","Done Deal"," 7 ","7","5-2","Arturo Alvarez","Robert Touchet"
"2021-11-30","EVD","6","Dirt","Big Ticket On Fire"," 8 ","8","20-1","Saul Hernandez","Sanford Anderson"
"2021-11-30","EVD","6","Dirt","Canadian Mist"," 9 ","9","12-1","Bobby Ransom","David Barnes"
"2021-11-30","EVD","6","Dirt","Ponookies Fast Cash","10 ","10","3-1","Fernando Velazquez","Andy Rogers"
"2021-11-30","EVD","7","Dirt","Fast Running Jet"," 1 ","1","15-1","Noe Castaneda","Lanny Keith"
"2021-11-30","EVD","7","Dirt","Apollitical Bug"," 2 ","2","2-1","Guadalupe Lucio, Jr.","Mardonio Flores, Jr."
"2021-11-30","EVD","7","Dirt","Tf Seperatin"," 3 ","3","5-2","Floriberto Maldonado","Ricardo Castillo"
"2021-11-30","EVD","7","Dirt","Mm Fast Prize Corona"," 4 ","4","20-1","Ubaldo Luna","Pedro Lopez"
"2021-11-30","EVD","7","Dirt","Easy Jumpn Jet"," 5 ","5","10-1","Luciano Duenez","Phillip Calais, Jr."
"2021-11-30","EVD","7","Dirt","Boxcar"," 6 ","6","5-1","Leonardo Rodriguez","Jose Sanchez III"
"2021-11-30","EVD","7","Dirt","Jls Zoom N Boom"," 7 ","7","8-1","Arturo Alvarez","Gilberto Rosales"
"2021-11-30","EVD","7","Dirt","Tm Dee First Bar"," 8 ","8","4-1","Gilbert Ortiz","Vann Haywood"
"2021-11-30","EVD","8","Dirt","Tf Tres Veses Loca"," 1 ","1","5-2","Guadalupe Lucio, Jr.","Lanny Keith"
"2021-11-30","EVD","8","Dirt","Tinys First Runaway"," 2 ","2","12-1","Ricardo Hernandez, Jr.","Mardonio Flores, Jr."
"2021-11-30","EVD","8","Dirt","Anomali"," 3 ","3","10-1","Saul Hernandez","David Bustamante"
"2021-11-30","EVD","8","Dirt","Grand Hocks Gl"," 4 ","4","2-1","Mario Trujillo, Jr.","Eliseo Celestino"
"2021-11-30","EVD","8","Dirt","Rl Strikeback"," 5 ","5","9-2","Jasiel Aquino","Paul Rigdon"
"2021-11-30","EVD","8","Dirt","Cwfasttrack"," 6 ","6","15-1","Bobby Ransom","Gregory Williams"
