"Track","RaceNumber","HorsesRunning"
"AP","7","9"
"AP","8","10"
"BEL","1","10"
"BEL","2","11"
"BEL","4","12"
"BEL","6","12"
"BEL","7","16"
"BEL","8","11"
"BEL","9","10"
"BEL","11","14"
"CD","1","10"
"CD","2","16"
"CD","3","11"
"CD","4","16"
"CD","5","11"
"CD","8","12"
"CD","9","14"
"CD","10","13"
"CD","11","9"
"CD","12","20"
"CD","13","12"
"CD","14","10"
"CT","2","10"
"CT","5","11"
"CT","6","9"
"CT","8","9"
"CT","9","11"
"EQC","1","9"
"EQC","3","11"
"EVD","5","10"
"EVD","7","12"
"EVD","9","10"
"FON","4","9"
"FON","6","9"
"FON","8","9"
"FON","10","10"
"FP","5","9"
"FP","7","9"
"FP","8","10"
"GG","3","9"
"GG","8","9"
"GP","1","11"
"GP","5","12"
"GP","7","10"
"GP","9","15"
"GP","11","9"
"GP","12","11"
"HOU","5","10"
"HOU","6","10"
"HOU","7","10"
"HOU","8","10"
"HOU","9","10"
"HOU","10","10"
"HOU","11","10"
"LA","8","10"
"LAD","5","9"
"LAD","6","9"
"LS","1","9"
"LS","5","12"
"LS","8","12"
"LS","11","9"
"MID","5","9"
"MID","7","14"
"OP","1","14"
"OP","3","11"
"OP","4","12"
"OP","5","9"
"OP","6","11"
"OP","7","14"
"OP","8","9"
"OP","9","10"
"OP","10","14"
"OP","12","10"
"PIM","5","11"
"PIM","6","9"
"RP","2","10"
"RP","4","9"
"RP","5","10"
"RP","6","9"
"RP","9","10"
"SA","1","12"
"SA","6","10"
"SA","8","14"
"SA","9","9"
"SA","10","11"
"SRP","2","9"
"SRP","5","10"
"SRP","6","10"
"TAM","2","9"
"TAM","4","11"
"TAM","5","14"
"TAM","6","11"
"TAM","7","10"
"TAM","8","14"
"TAM","9","13"
"TAM","10","13"
"TDN","2","9"
"TDN","5","9"
"TDN","7","9"
"TDN","8","10"
"TDN","9","9"
"TUP","4","9"
"TUP","5","9"
"TUP","7","10"
"TUP","8","11"
"TUP","9","9"
"TUP","10","11"
