"Track","RaceNumber","HorsesRunning"
"CT","6","9"
"CT","9","10"
"DED","5","9"
"DED","7","10"
"DED","8","12"
"DED","9","9"
"FG","1","9"
"FG","2","12"
"FG","4","16"
"FG","6","10"
"FG","8","10"
"FG","9","9"
"GP","5","11"
"GP","9","14"
"HOU","3","9"
"HOU","5","10"
"HOU","7","9"
"HOU","8","9"
"HOU","9","10"
"LRL","4","9"
"LRL","5","9"
"LRL","6","9"
"TP","1","14"
"TP","2","14"
"TP","3","12"
"TP","4","10"
"TP","5","14"
"TP","6","12"
"TP","7","12"
"TP","8","10"
"TP","9","14"
"TP","10","14"
"TUP","1","9"
"TUP","2","12"
"TUP","4","9"
"TUP","5","9"
"TUP","6","11"
"TUP","7","11"
"TUP","8","10"
