"Track","RaceNumber","HorsesRunning"
"BTP","3","9"
"BTP","6","11"
"BTP","8","11"
"CBY","6","9"
"CBY","7","9"
"CD","5","12"
"CD","7","10"
"CD","8","11"
"CD","9","13"
"FL","7","10"
"FP","5","9"
"FP","7","10"
"IND","4","10"
"IND","5","9"
"IND","6","11"
"IND","7","11"
"IND","8","11"
"IND","9","12"
"IND","10","12"
"LAD","3","9"
"LAD","5","9"
"LAD","7","9"
"MNR","1","10"
"MNR","7","9"
"PID","4","9"
"PID","8","9"
"PRX","4","9"
"PRX","5","9"
"PRX","7","16"
"PRX","8","11"
"PRX","9","10"
"PRX","10","15"
"TDN","3","12"
"TDN","8","9"
