"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-03-30","DED","1","Dirt","Not Enough Bling"," 1 ","1","7-2","Alex Birzer","Scott Gelner"
"2021-03-30","DED","1","Dirt","Senorita Tsunami"," 2 ","2","15-1","Odilon Martinez","Shelton Zenon, Sr."
"2021-03-30","DED","1","Dirt","Kellys the Boss"," 3 ","3","8-1","Joel Dominguez","Ronnie Ward"
"2021-03-30","DED","1","Dirt","A Wish for Madelyn"," 4 ","4","9-2","Kevin Smith","Ronnie Averett"
"2021-03-30","DED","1","Dirt","Redheaded Cricket"," 5 ","5","20-1","Antonio Quiles","Winston Cormier"
"2021-03-30","DED","1","Dirt","Chief Falcon"," 6 ","6","10-1","Alexander Castillo","Kenneth Westlye"
"2021-03-30","DED","1","Dirt","Shacks River"," 7 ","7","9-5","Jose Guerrero","Isai Gonzalez"
"2021-03-30","DED","1","Dirt","Shortylee"," 8 ","8","20-1","Ashley Broussard","John Leblanc"
"2021-03-30","DED","1","Dirt","Runaway Deb"," 9 ","9","15-1","Luis Batista","Edith Mojica"
"2021-03-30","DED","1","Dirt","Fancy Face","10 ","10","15-1","Jansen Melancon","Jeffery Reeves, Jr."
"2021-03-30","DED","1","Dirt","Merlin's Sister","11 ","11","20-1","Emanuel Nieves","Tim Dixon"
"2021-03-30","DED","1","Dirt","Tough Bama Belle","12 ","12","6-1","Joe Stokes","Rylee Grudzien"
"2021-03-30","DED","2","Dirt","My Amigo Charlie","1  ","6","6-5","Timothy Thornton","Andrea Ali"
"2021-03-30","DED","2","Dirt","One Proud Boy","1A ","8","6-5","Timothy Thornton","Andrea Ali"
"2021-03-30","DED","2","Dirt","Brutalize","2  ","1","5-1","Joel Dominguez","Ronnie Ward"
"2021-03-30","DED","2","Dirt","Secret Redemption","3  ","2","6-1","Jarred Journet","Nicholas Latour"
"2021-03-30","DED","2","Dirt","Round Quarter","4  ","3","8-1","Thomas Pompell","Brent Toups"
"2021-03-30","DED","2","Dirt","Inlike Flen","5  ","4","15-1","Jose Guerrero","Isai Gonzalez"
"2021-03-30","DED","2","Dirt","Bettin On Bryan","6  ","5","20-1","Jorge Guzman","Juan Larrosa"
"2021-03-30","DED","2","Dirt","Marvelous Red"," 7 ","7","3-1","Joe Stokes","David Barnes"
"2021-03-30","DED","3","Dirt","Relax Town"," 1 ","1","9-2","Eguard Tejera","Mike Shamsie"
"2021-03-30","DED","3","Dirt","Counterfeit"," 2 ","2","8-1","Ashley Broussard","Lee Thomas"
"2021-03-30","DED","3","Dirt","Zion's Call"," 3 ","3","12-1","Kevin Smith","Phillip Dison"
"2021-03-30","DED","3","Dirt","Callthewolfe"," 4 ","4","3-1","Joel Dominguez","Juan Larrosa"
"2021-03-30","DED","3","Dirt","Joeboy"," 5 ","5","15-1","Emanuel Nieves","John Hirdes"
"2021-03-30","DED","3","Dirt","Courageous Is Back"," 6 ","6","6-5","Alex Birzer","Timothy Martin"
"2021-03-30","DED","3","Dirt","Slow"," 7 ","7","10-1","Thomas Pompell","Scott Gelner"
"2021-03-30","DED","4","Dirt","Jerry's Legacy"," 1 ","1","15-1","Gerard Melancon","Anthony Arey"
"2021-03-30","DED","4","Dirt","I'm All Mixed Up"," 2 ","2","9-2","Diego Saenz","Ronnie Averett"
"2021-03-30","DED","4","Dirt","Accustomed to Hope"," 3 ","3","8-1","Joe Stokes","Jonah Fuselier"
"2021-03-30","DED","4","Dirt","Fromagentleman"," 4 ","4","20-1","Eguard Tejera","Arian Haxhillari"
"2021-03-30","DED","4","Dirt","Decadent Diamond"," 5 ","5","12-1","Joel Dominguez","Eduardo Ramirez"
"2021-03-30","DED","4","Dirt","Cajun Music"," 6 ","6","12-1","Kevin Smith","Barney Core"
"2021-03-30","DED","4","Dirt","Rose Crown"," 7 ","7","5-1","Timothy Thornton","Karl Broberg"
"2021-03-30","DED","4","Dirt","Viking Voyage"," 8 ","8","2-1","Jose Guerrero","Isai Gonzalez"
"2021-03-30","DED","4","Dirt","Envoys Legacy"," 9 ","9","7-2","Jarred Journet","Brent Toups"
"2021-03-30","DED","5","Dirt","Big Power Red"," 1 ","1","8-5","Chester Bonnet","Scott Gelner"
"2021-03-30","DED","5","Dirt","One Time Gem"," 2 ","2","7-2","Gerard Melancon","Keith Bourgeois"
"2021-03-30","DED","5","Dirt","Civil Servant"," 3 ","3","6-1","Diego Saenz","Eduardo Ramirez"
"2021-03-30","DED","5","Dirt","Enchanted Empire"," 4 ","4","10-1","Jorge Guzman","Henry Johnson, Jr."
"2021-03-30","DED","5","Dirt","Easy to Miss"," 5 ","5","8-1","Timothy Thornton","Scott Gelner"
"2021-03-30","DED","5","Dirt","Diside"," 6 ","6","12-1","Jose Guerrero","Ronnie Ward"
"2021-03-30","DED","5","Dirt","Race Craft"," 7 ","7","4-1","Joel Dominguez","Steven Asmussen"
"2021-03-30","DED","6","Dirt","Bliss La Vie"," 1 ","1","8-1","Alexander Castillo","Rafael Gomez"
"2021-03-30","DED","6","Dirt","Arancia"," 2 ","2","5-1","Alex Birzer","Brett Brinkman"
"2021-03-30","DED","6","Dirt","Ms Louisa"," 3 ","3","4-1","Thomas Pompell","Scott Gelner"
"2021-03-30","DED","6","Dirt","Eye On the Ladies"," 4 ","4","20-1","Daniel Flores","Henry West, Jr."
"2021-03-30","DED","6","Dirt","Lucky Lily Be"," 5 ","5","15-1","Paulina Ramirez","Judy Beavin"
"2021-03-30","DED","6","Dirt","Raising the Roof"," 6 ","6","2-1","Luis Batista","Samuel Breaux"
"2021-03-30","DED","6","Dirt","Ruby Red Slippers"," 7 ","7","12-1","Jarred Journet","Kearney Segura"
"2021-03-30","DED","6","Dirt","Mallory's Home"," 8 ","8","3-1","Odilon Martinez","Ronnie Averett"
"2021-03-30","DED","7","Dirt","Be a Bandit"," 1 ","1","10-1","Odilon Martinez","Shelton Zenon, Sr."
"2021-03-30","DED","7","Dirt","Miss Mabelee"," 2 ","2","15-1","Efigenio Ruiz","Russell Richard"
"2021-03-30","DED","7","Dirt","Further Lane"," 3 ","3","6-1","Timothy Thornton","Karl Broberg"
"2021-03-30","DED","7","Dirt","Golden Expresso"," 4 ","4","9-2","Thomas Pompell","Brent Toups"
"2021-03-30","DED","7","Dirt","Arctic Guitar"," 5 ","5","8-1","Jose Guerrero","Donald Melancon"
"2021-03-30","DED","7","Dirt","Sunny Empire"," 6 ","6","7-2","Joe Stokes","Shane Meche"
"2021-03-30","DED","7","Dirt","Chicken Or the Egg"," 7 ","7","7-5","Alex Birzer","Timothy Martin"
"2021-03-30","DED","8","Dirt","I'm Looking Up"," 1 ","1","8-1","Thomas Pompell","Brett Brinkman"
"2021-03-30","DED","8","Dirt","Let It B"," 2 ","2","10-1","Alexander Castillo","Sarah Delany"
"2021-03-30","DED","8","Dirt","Warriors Gem"," 3 ","3","2-1","Joe Stokes","Shane Meche"
"2021-03-30","DED","8","Dirt","Dried Pepper"," 4 ","4","6-1","Joel Dominguez","Joel Berndt"
"2021-03-30","DED","8","Dirt","Leo Del Reo"," 5 ","5","12-1","Jose Guerrero","Brian Huval"
"2021-03-30","DED","8","Dirt","Elusive d'Oro"," 6 ","6","6-1","Gerard Melancon","Glenn Delahoussaye"
"2021-03-30","DED","8","Dirt","Outamine"," 7 ","7","7-2","Timothy Thornton","Karl Broberg"
"2021-03-30","DED","8","Dirt","Populist"," 8 ","8","5-1","Diego Saenz","Shane Wilson"
"2021-03-30","DED","9","Dirt","Wild One Forever"," 1 ","1","15-1","Luis Batista","Edith Mojica"
"2021-03-30","DED","9","Dirt","Last Battle"," 2 ","2","20-1","Ashley Broussard","Lonnie Briley"
"2021-03-30","DED","9","Dirt","I'll Raise You"," 3 ","3","20-1","Odilon Martinez","Shelton Zenon, Sr."
"2021-03-30","DED","9","Dirt","Bodemeister Wind"," 4 ","4","8-1","Diego Saenz","Thomas Amoss"
"2021-03-30","DED","9","Dirt","Croque Monsieur (GB)"," 5 ","5","4-1","Eguard Tejera","Arian Haxhillari"
"2021-03-30","DED","9","Dirt","Glory Road"," 6 ","6","9-5","Timothy Thornton","Gary Scherer"
"2021-03-30","DED","9","Dirt","Charlies Ticket"," 7 ","7","10-1","Rohan Singh","Henry Johnson, Jr."
"2021-03-30","DED","9","Dirt","Giant Mesa"," 8 ","8","8-1","Thomas Pompell","Dale White, Sr."
"2021-03-30","DED","9","Dirt","Alterana"," 9 ","9","5-1","Alex Birzer","Patrick Devereux, Jr."
"2021-03-30","DED","9","Dirt","Imdusty","10 ","10","12-1","Timothy Thornton","Karl Broberg"
"2021-03-30","DED","9","Dirt","Muscadine","11 ","11","12-1","Joel Dominguez","Shelton Zenon, Sr."
"2021-03-30","DED","9","Dirt","Tapage","12 ","12","5-1","Gerard Melancon","Chris Richard"
"2021-03-30","DED","10","Dirt","Peaceful Vision","1  ","4","6-1","Ashley Broussard","Lee Thomas"
"2021-03-30","DED","10","Dirt","Resposado","1A ","5","6-1","Ashley Broussard","Lee Thomas"
"2021-03-30","DED","10","Dirt","Spectacular Izzy","2  ","1","8-1","Alex Birzer","Steve Ingram"
"2021-03-30","DED","10","Dirt","Miss Hurryupnwait","3  ","2","8-1","Odilon Martinez","Shelton Zenon, Sr."
"2021-03-30","DED","10","Dirt","Noon's Babygirl","4  ","3","9-5","Jarred Journet","Kearney Segura"
"2021-03-30","DED","10","Dirt","Eve's Delight","5  ","6","7-2","Jose Guerrero","Garland Goins"
"2021-03-30","DED","10","Dirt","Sunny's Prayer","6  ","7","20-1","Rohan Singh","Joseph Kanhai"
