"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2021-04-24","BEL","MAIDEN SPECIAL WEIGHT ","1","First Captain","9-5"," 2 ","2","FTL","Curlin"
"2021-04-24","BEL","MAIDEN SPECIAL WEIGHT ","1","Mahaamel","5-2"," 4 ","4","FTL","Into Mischief"
"2021-04-24","BEL","MAIDEN SPECIAL WEIGHT ","1","Pipeline","3-1"," 5 ","5","FTL","Speightstown"
"2021-04-24","BEL","ALLOWANCE ","2","Classic Colors","3-1"," 8 ","8","FTL","Street Sense"
"2021-04-24","BEL","MAIDEN SPECIAL WEIGHT ","6","Hombre","15-1"," 3 ","3","FTL","Tourist"
"2021-04-24","BEL","MAIDEN SPECIAL WEIGHT ","6","Welshman","20-1"," 5 ","5","FTL","Flintshire*GB"
"2021-04-24","BEL","MAIDEN CLAIMING($40,000) ","9","Leas Talkin Alot","20-1"," 2 ","2","FTL","Liaison"
"2021-04-24","BEL","MAIDEN CLAIMING($40,000) ","9","Hoping and Praying","6-1"," 3 ","3","FTL","Superestrella"
"2021-04-24","BEL","MAIDEN CLAIMING($40,000) ","9","Strong Desire","4-1"," 4 ","4","FTL","Stay Thirsty"
"2021-04-24","BEL","MAIDEN CLAIMING($40,000) ","9","Drink a Toast","5-1"," 5 ","5","FTL","Kantharos"
"2021-04-24","BEL","MAIDEN CLAIMING($40,000) ","9","Canyon of Heros","12-1"," 9 ","9","FTL","Congrats"
"2021-04-24","CHL","MAIDEN CLAIMING($15,000) ","1","Lap of the Gods",""," 2 ","2","FTL","Temple City"
"2021-04-24","CHL","Queen's Cup MPC 'Chase S.","3","Gowiththeflow (IRE)",""," 9 ","9","FTL","Westerner*GB"
"2021-04-24","CHL","ALLOWANCE ","5","Tiepolo (IRE)",""," 1 ","1","FTL","Dark Angel*Ire"
"2021-04-24","GG","MAIDEN SPECIAL WEIGHT ","4","Tiz an Edventure","3-1"," 1 ","1","FTL","Tiznow"
"2021-04-24","GP","MAIDEN CLAIMING($20,000) ","2","Lovin Livin","8-1"," 4 ","4","FTL","Race Day"
"2021-04-24","GP","MAIDEN CLAIMING($20,000) ","2","Bordeaux Legacy","12-1"," 7 ","7","FTL","Treasure Beach*GB"
"2021-04-24","GP","ALLOWANCE OPTIONAL CLAIMING($62,500) ","3","Wind of Change (BRZ)","3-1"," 2 ","2","FTL","Forestry"
"2021-04-24","GP","MAIDEN CLAIMING($12,500) ","4","Heaven's Tale","8-1"," 3 ","3","FTL","Tale of Ekati"
"2021-04-24","GP","MAIDEN CLAIMING($12,500) ","4","Mr Awesome","9-2"," 4 ","4","FTL","Awesome of Course"
"2021-04-24","GP","MAIDEN CLAIMING($35,000) ","6","Uno Tiger","7-2"," 4 ","4","FTL","Macho Uno"
"2021-04-24","GP","MAIDEN CLAIMING($35,000) ","6","Claude Ray","12-1"," 6 ","6","FTL","Data Link"
"2021-04-24","GP","MAIDEN SPECIAL WEIGHT ","7","Freer","12-1"," 3 ","3","FTL","Bernardini"
"2021-04-24","GP","MAIDEN SPECIAL WEIGHT ","7","Momza","8-1"," 5 ","5","FTL","Not This Time"
"2021-04-24","GP","MAIDEN SPECIAL WEIGHT ","7","Hit the Point","12-1"," 6 ","6","FTL","Point of Entry"
"2021-04-24","GP","MAIDEN SPECIAL WEIGHT ","7","Readyseekgo","20-1"," 8 ","8","FTL","More Than Ready"
"2021-04-24","GP","MAIDEN SPECIAL WEIGHT ","7","Devils Sky","8-1"," 9 ","9","FTL","Into Mischief"
"2021-04-24","GP","MAIDEN SPECIAL WEIGHT ","7","Trait","6-1","10 ","10","FTL","Elusive Quality"
"2021-04-24","GP","MAIDEN SPECIAL WEIGHT ","7","Munqad","4-1","11 ","11","FTL","War Front"
"2021-04-24","HAW","MAIDEN SPECIAL WEIGHT ","1","She's Wandaful","10-1"," 1 ","1","FTL","Flat Out"
"2021-04-24","HAW","CLAIMING($5,000) ","2","Venetian Dream","8-1"," 1 ","1","FTL","Verrazano"
"2021-04-24","HAW","MAIDEN SPECIAL WEIGHT ","4","Lily's Woofy","5-2"," 1 ","1","FTL","Dominus"
"2021-04-24","HAW","MAIDEN SPECIAL WEIGHT ","4","One Flashy Girl","3-1"," 2 ","2","FTL","Flashback"
"2021-04-24","HAW","MAIDEN SPECIAL WEIGHT ","4","La Rose","8-1"," 7 ","7","FTL","Discreet Cat"
"2021-04-24","HAW","CLAIMING($15,000) ","5","Jane's Gold Tour","10-1"," 7 ","7","FTL","Tourist"
"2021-04-24","HOU","MAIDEN ","1","Shake On Down","10-1"," 7 ","7","FTL","Down N Dash"
"2021-04-24","HOU","MAIDEN ","1","Is Befirsttodazzle","20-1"," 8 ","8","FTL","Be First to Go"
"2021-04-24","HOU","TRIALS ","5","Wicked Blue Streak","8-1"," 2 ","2","FTL","Jess Louisiana Blue"
"2021-04-24","HOU","TRIALS ","5","Rb Secret Seis","8-1"," 6 ","6","FTL","Tres Seis"
"2021-04-24","HOU","TRIALS ","11","Won Famous Dash","15-1"," 1 ","1","FTL","Giorgino"
"2021-04-24","HOU","TRIALS ","11","One Famous Dreamer","8-1"," 9 ","9","FTL","One Famous Eagle"
"2021-04-24","LS","MAIDEN SPECIAL WEIGHT ","4","Lilliegetyourgun","20-1","10 ","10","FTL","Bradester"
"2021-04-24","LS","CLAIMING($15,000) ","5","Natalies Joy","20-1"," 5 ","5","FTL","Fearless Eagle"
"2021-04-24","OP","MAIDEN CLAIMING($16,000) ","1","Playa Maya Money","30-1"," 1 ","1","FTL","Mo for the Money"
"2021-04-24","OP","MAIDEN CLAIMING($50,000) ","8","Boujie One","6-1"," 1 ","1","FTL","Uncle Mo"
"2021-04-24","OP","MAIDEN CLAIMING($50,000) ","8","Amongst Friends","8-1"," 2 ","2","FTL","Oxbow"
"2021-04-24","OP","MAIDEN CLAIMING($50,000) ","8","Flash of Promise","15-1"," 3 ","3","FTL","Flashback"
"2021-04-24","OP","MAIDEN CLAIMING($50,000) ","8","Tenth of Gold","7-2"," 5 ","5","FTL","Violence"
"2021-04-24","OP","MAIDEN CLAIMING($50,000) ","8","Blake B.","8-1"," 7 ","7","FTL","Malibu Moon"
"2021-04-24","OP","MAIDEN SPECIAL WEIGHT ","11","Perhaps","6-1"," 2 ","2","FTL","Candy Ride*Arg"
"2021-04-24","OP","MAIDEN SPECIAL WEIGHT ","11","Dixie Penny","30-1"," 3 ","3","FTL","Goldencents"
"2021-04-24","OP","MAIDEN SPECIAL WEIGHT ","11","Peak of Chic","15-1"," 7 ","7","FTL","Competitive Edge"
"2021-04-24","OP","MAIDEN SPECIAL WEIGHT ","11","Pure Silk","12-1"," 8 ","8","FTL","Into Mischief"
"2021-04-24","OP","MAIDEN SPECIAL WEIGHT ","11","Satin Rose","10-1","14 ","14","FTL","Brody's Cause"
"2021-04-24","PIM","MAIDEN CLAIMING($8,000) ","1","Missawlet","15-1"," 8 ","8","FTL","Kendalls Bear"
"2021-04-24","PIM","Weber City Miss S.","9","Oliviaofthedesert","5-2"," 5 ","5","FTL","Bernardini"
"2021-04-24","RP","MAIDEN CLAIMING($15,000) ","1","Hes Leaving You","12-1","10 ","10","FTL","Coronas Leaving You"
"2021-04-24","RP","MAIDEN ","2","Ts If I Win Allflash","4-1"," 1 ","1","FTL","First Moonflash"
"2021-04-24","RP","MAIDEN ","2","Candy Hero","6-1"," 2 ","2","FTL","Jess Good Candy"
"2021-04-24","RP","MAIDEN ","2","The Wicked Frog","12-1"," 3 ","3","FTL","Tres Seis"
"2021-04-24","RP","MAIDEN ","2","Rip Wheeler","5-2"," 4 ","4","FTL","Big Daddy Cartel"
"2021-04-24","RP","MAIDEN ","2","Apollitical Paint","5-1"," 5 ","5","FTL","Apollitical Blood"
"2021-04-24","RP","MAIDEN ","2","Ethics and Favor","20-1"," 6 ","6","FTL","Ethics Aside"
"2021-04-24","RP","MAIDEN ","2","Riii Texas Teez","20-1"," 7 ","7","FTL","Howdoyalikemesofar"
"2021-04-24","RP","MAIDEN ","2","Two More Wines","8-1"," 8 ","8","FTL","Big Daddy Cartel"
"2021-04-24","RP","MAIDEN ","2","Dbd Aribella","10-1"," 9 ","9","FTL","Stoli"
"2021-04-24","RP","MAIDEN ","2","Wagon Full of Prizes","20-1","10 ","10","FTL","Prized Wagon"
"2021-04-24","RP","MAIDEN CLAIMING($15,000) ","5","Romantic Sweetgirl","15-1"," 7 ","7","FTL","One Sweet Jess"
"2021-04-24","RP","MAIDEN ","12","Dividends Trick","15-1"," 1 ","1","FTL","Favorite Trick"
"2021-04-24","RP","MAIDEN ","12","Terrific Effort","15-1"," 2 ","2","FTL","A Revenant"
"2021-04-24","RP","MAIDEN ","12","One Dashing Rose","3-1"," 3 ","3","FTL","One Dashing Eagle"
"2021-04-24","RP","MAIDEN ","12","Follies Special Dash","20-1"," 4 ","4","FTL","Dash to Follies"
"2021-04-24","RP","MAIDEN ","12","Mr Innovator","12-1"," 5 ","5","FTL","Big Daddy Cartel"
"2021-04-24","RP","MAIDEN ","12","All Pointz Bulletin","5-1"," 6 ","6","FTL","Tres Seis"
"2021-04-24","RP","MAIDEN ","12","Chuggin Corona","4-1"," 7 ","7","FTL","Hez Our Secret"
"2021-04-24","RP","MAIDEN ","12","Olivia de Capo","7-2"," 9 ","9","FTL","Capo de Capi"
"2021-04-24","RP","MAIDEN ","12","Moonflash Ocean","6-1","10 ","10","FTL","First Moonflash"
"2021-04-24","SRP","MAIDEN CLAIMING($10,000) ","1","Osbaldos Rain","15-1"," 2 ","2","FTL","Osbaldo"
"2021-04-24","SRP","MAIDEN CLAIMING($10,000) ","1","Hearts Deseo","8-1"," 6 ","6","FTL","Heart of Stoli"
"2021-04-24","SRP","MAIDEN ","2","Hermes Link","15-1"," 1 ","1","FTL","Tres Seis"
"2021-04-24","SRP","MAIDEN ","3","Five Bar Kidd","8-1"," 1 ","1","FTL","Five Bar Cartel"
"2021-04-24","SRP","MAIDEN ","3","One Gorgeous Lady","10-1"," 2 ","2","FTL","One Handsome Man"
"2021-04-24","SRP","MAIDEN ","3","Dashing Chapo","12-1"," 3 ","3","FTL","Tee Cos"
"2021-04-24","SRP","MAIDEN ","3","Dynastys Reflection","9-2"," 5 ","5","FTL","Fdd Dynasty"
"2021-04-24","SRP","MAIDEN ","3","Pecos River Queen","7-2"," 7 ","7","FTL","A Revenant"
"2021-04-24","SRP","MAIDEN ","3","Jess Reyli Dash","20-1"," 8 ","8","FTL","Jess More Ammo"
"2021-04-24","SRP","MAIDEN ","3","Rocasolida Esperance","4-1"," 9 ","9","FTL","Rock Solid Jess"
"2021-04-24","SRP","MAIDEN SPECIAL WEIGHT ","7","Gambling Cowboy","12-1"," 2 ","2","FTL","Attila's Storm"
"2021-04-24","SRP","MAIDEN SPECIAL WEIGHT ","7","My Sweet Annie","20-1"," 5 ","5","FTL","Stellar Rain"
"2021-04-24","SRP","MAIDEN SPECIAL WEIGHT ","7","Fearless Overcomer","8-1"," 6 ","6","FTL","Right Rigger"
"2021-04-24","SRP","MAIDEN SPECIAL WEIGHT ","7","Awesome Storm","10-1"," 8 ","8","FTL","Awesome Indian"
"2021-04-24","SRP","MAIDEN SPECIAL WEIGHT ","7","Myogenic","15-1"," 9 ","9","FTL","Delhomme"
"2021-04-24","SRP","MAIDEN SPECIAL WEIGHT ","7","Half Court Sam","20-1","11 ","11","FTL","Attila's Storm"
"2021-04-24","TAM","MAIDEN CLAIMING($16,000) ","2","Worth It","6-1"," 4 ","4","FTL","Kiss the Kid"
"2021-04-24","TAM","MAIDEN CLAIMING($16,000) ","2","Milenita","4-1"," 5 ","5","FTL","Aikenite"
"2021-04-24","TAM","MAIDEN CLAIMING($16,000) ","7","Buddy Revell","10-1","12 ","12","FTL","Hit It a Bomb"
"2021-04-24","TAM","MAIDEN CLAIMING($8,000) ","8","Optimal Courage","5-1"," 2 ","2","FTL","Optimizer"
