"Track","RaceNumber","HorsesRunning"
"DED","3","9"
"DED","5","9"
"DED","7","9"
"DED","8","10"
"DED","9","11"
"GP","1","13"
"GP","5","11"
"GP","7","9"
"GP","8","9"
"GP","9","9"
"GP","10","12"
"MVR","3","10"
"MVR","4","9"
"MVR","5","9"
"MVR","6","9"
"MVR","7","9"
"MVR","8","12"
"MVR","9","11"
"PEN","2","9"
"PEN","3","12"
"PEN","4","10"
"PEN","6","10"
"PEN","10","10"
"PEN","11","11"
"PRX","4","10"
"PRX","8","13"
"PRX","9","12"
"PRX","10","12"
"TAM","4","10"
"TAM","7","14"
"TAM","9","14"
"TUP","5","9"
"TUP","6","12"
"TUP","7","9"
"TUP","8","12"
"TUP","9","12"
