"Track","RaceNumber","HorsesRunning"
"BTP","4","9"
"BTP","8","12"
"CBY","3","9"
"CBY","6","9"
"CBY","7","9"
"CBY","8","11"
"DED","3","10"
"DED","5","9"
"DED","7","10"
"DED","8","10"
"DED","9","10"
"DEL","3","14"
"DEL","5","10"
"DEL","7","11"
"DEL","9","10"
"EMD","5","9"
"EMD","7","10"
"EMD","8","9"
"EVD","1","9"
"EVD","3","10"
"EVD","5","10"
"FL","7","9"
"FL","8","10"
"HOU","2","10"
"HOU","3","10"
"HOU","4","9"
"HOU","6","10"
"HOU","7","10"
"HOU","9","10"
"HOU","10","10"
"IND","3","10"
"IND","5","11"
"IND","6","10"
"IND","7","12"
"IND","8","9"
"IND","9","9"
"MNR","1","12"
"MNR","8","10"
"PEN","2","11"
"PEN","3","12"
"PEN","4","12"
"PRX","4","9"
"PRX","6","9"
"PRX","8","16"
"PRX","11","9"
"TDN","2","12"
"TDN","8","9"
