"Track","RaceNumber","HorsesRunning"
"ALB","1","12"
"ALB","2","12"
"ALB","3","9"
"ALB","4","12"
"ALB","8","12"
"ALB","9","9"
"ALB","10","11"
"DMR","4","13"
"DMR","5","9"
"DMR","6","9"
"DMR","7","10"
"DMR","8","11"
"DMR","9","11"
"DMR","10","12"
"DMR","11","14"
"ELP","5","9"
"ELP","8","12"
"ELP","9","10"
"ENG-CTM","3","9"
"ENG-CTM","4","11"
"ENG-CTM","8","14"
"GIL","1","9"
"GIL","2","9"
"GIL","3","10"
"GIL","4","10"
"GIL","5","10"
"GIL","6","10"
"GIL","7","10"
"GIL","9","10"
"GIL","10","10"
"GP","1","11"
"GP","5","9"
"GP","7","12"
"GP","9","10"
"MNR","1","11"
"MNR","9","10"
"MTH","3","11"
"MTH","8","10"
"MTH","9","12"
"MTH","10","9"
"MTH","11","9"
"PRM","3","10"
"PRM","5","10"
"PRM","9","10"
"RUI","1","9"
"RUI","3","9"
"RUI","5","10"
"RUI","6","9"
"RUI","7","10"
"RUI","8","10"
"RUI","9","9"
"RUI","10","9"
"RUI","11","10"
"RUI","12","10"
"RUI","13","10"
"SAR","6","9"
"SWF","1","10"
"SWF","2","10"
"SWF","3","9"
"SWF","4","10"
"SWF","5","10"
"SWF","6","10"
"SWF","7","10"
"SWF","8","10"
