"Track","RaceNumber","HorsesRunning"
"ARP","5","10"
"ARP","6","13"
"ARP","7","10"
"ARP","8","11"
"CBY","4","11"
"CBY","6","10"
"CBY","7","11"
"CBY","8","9"
"DEL","2","9"
"DEL","3","13"
"DEL","7","14"
"FMT","10","10"
"FMT","12","10"
"FP","2","9"
"FP","3","9"
"FP","5","10"
"FP","6","9"
"FP","7","10"
"IND","3","10"
"IND","4","9"
"IND","6","9"
"IND","7","9"
"IND","8","11"
"IND","9","12"
"LAD","2","9"
"LAD","3","10"
"LAD","4","14"
"LAD","5","14"
"LAD","7","11"
"LS","1","12"
"LS","3","9"
"LS","4","9"
"LS","6","9"
"LS","8","10"
"LS","9","9"
"MNR","1","11"
"MNR","2","13"
"MNR","5","10"
"MNR","6","9"
"MNR","7","9"
"MNR","8","10"
"MNR","9","14"
"PRM","7","11"
"PRM","11","9"
"PRX","4","11"
"PRX","5","10"
"PRX","7","9"
"PRX","9","9"
"PRX","11","11"
"TDN","1","9"
"TDN","2","13"
"TDN","3","12"
"TDN","6","9"
"TDN","7","11"
"TDN","8","9"
