"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-05-05","BTP","1","Dirt","Drop Dead Gorgeous"," 1 ","1","2-1","Sonny Leon","Jeffrey Greenhill"
"2021-05-05","BTP","1","Dirt","Samis Car"," 2 ","2","12-1","Ronney Betancourt","Mateo Morelos"
"2021-05-05","BTP","1","Dirt","Maliced"," 3 ","3","6-1","Rafael Mojica, Jr.","Rick Jordan"
"2021-05-05","BTP","1","Dirt","Miss Vicki"," 4 ","4","7-2","Perry Ouzts","D. Ackerman"
"2021-05-05","BTP","1","Dirt","Honey Bourbon"," 5 ","5","3-1","Santiago Gonzalez","Richard Estvanko"
"2021-05-05","BTP","1","Dirt","Hero of the Best"," 6 ","6","5-1","Eddie Zuniga","Monica Krummen"
"2021-05-05","BTP","2","Dirt","Hampton Spring"," 1 ","1","8-1","Gregory Romero","Rey Hernandez"
"2021-05-05","BTP","2","Dirt","La Alhambra"," 2 ","2","6-1","Rogelio Miranda","Rey Hernandez"
"2021-05-05","BTP","2","Dirt","Noble Alma"," 3 ","3","7-2","Luis Batista","Lilia Gonzalez"
"2021-05-05","BTP","2","Dirt","Lemon Popper"," 4 ","4","3-1","Sonny Leon","Jeffrey Greenhill"
"2021-05-05","BTP","2","Dirt","Dark Temptress"," 5 ","5","5-2","Rafael Mojica, Jr.","William Cowans"
"2021-05-05","BTP","2","Dirt","Itsallaboutmememe"," 6 ","6","9-2","John McKee","Eric Reed"
"2021-05-05","BTP","3","Dirt","High Powered"," 1 ","1","5-2","Santiago Gonzalez","Susan Anderson"
"2021-05-05","BTP","3","Dirt","Big Lemon"," 2 ","2","12-1","Victor Bailon","Justin Sherman"
"2021-05-05","BTP","3","Dirt","Pole Setter"," 3 ","3","3-1","Rogelio Miranda","Hugo Andrade"
"2021-05-05","BTP","3","Dirt","Till Then"," 4 ","4","7-2","Perry Ouzts","Larry Smith"
"2021-05-05","BTP","3","Dirt","He's the Souperwon"," 5 ","5","5-1","Frank Reyes","Richard Estvanko"
"2021-05-05","BTP","3","Dirt","Seventy Seventycat"," 6 ","6","4-1","Sonny Leon","Regulo Rodriguez"
"2021-05-05","BTP","4","Dirt","Patsy's Big Girl"," 1 ","1","5-2","Santiago Gonzalez","Timothy Hamm"
"2021-05-05","BTP","4","Dirt","Moonlight Princess"," 2 ","2","7-2","John McKee","Stephen Lyster"
"2021-05-05","BTP","4","Dirt","Chloe Rene"," 3 ","3","15-1","Aaron Court","William White, III"
"2021-05-05","BTP","4","Dirt","Eida's Storm"," 4 ","4","6-1","Rogelio Miranda","Juan Aguirre"
"2021-05-05","BTP","4","Dirt","Class Riot"," 5 ","5","5-1","Frank Reyes","Jamie Grubbs"
"2021-05-05","BTP","4","Dirt","Sheza Miracle Baby"," 6 ","6","8-1","Perry Ouzts","Madelyn Royal"
"2021-05-05","BTP","4","Dirt","Kardia"," 7 ","7","4-1","Luis Batista","William Cowans"
"2021-05-05","BTP","5","Dirt","Bridge Dancer","1  ","1","3-1","Santiago Gonzalez","Timothy Hamm"
"2021-05-05","BTP","5","Dirt","Charge It All","1A ","4","3-1","Santiago Gonzalez","Timothy Hamm"
"2021-05-05","BTP","5","Dirt","Princess Athena","2  ","3","5-2","Eddie Dominguez","Ronald Kahles"
"2021-05-05","BTP","5","Dirt","Princesstapiture","2B ","5","5-2","John McKee","Ronald Kahles"
"2021-05-05","BTP","5","Dirt","Creative Credit","3  ","2","12-1","Scott Spieth","T. Haehn"
"2021-05-05","BTP","5","Dirt","Trust in Me","4  ","6","8-1","Marcelo Almeida","Fernando Silva"
"2021-05-05","BTP","5","Dirt","Fiona Power","5  ","7","5-1","Rafael Mojica, Jr.","John Cannon"
"2021-05-05","BTP","5","Dirt","American Violet","6  ","8","4-1","Rogelio Miranda","Michael Evans II"
"2021-05-05","BTP","5","Dirt","Blonde by Nature","7  ","9","8-1","Perry Ouzts","Adam Campbell"
"2021-05-05","BTP","6","Dirt","El Boricua"," 1 ","1","5-1","Luis Batista","Regulo Rodriguez"
"2021-05-05","BTP","6","Dirt","Orb of the Boro"," 2 ","2","7-2","Frank Reyes","Richard Estvanko"
"2021-05-05","BTP","6","Dirt","Audacious Antoine"," 3 ","3","10-1","David Cardoso","Walter Edwards"
"2021-05-05","BTP","6","Dirt","Jack Be Nimble"," 4 ","4","8-1","Santiago Gonzalez","Rey Hernandez"
