"Track","RaceNumber","HorsesRunning"
"AP","4","11"
"AP","5","10"
"AP","6","10"
"AP","7","10"
"AP","8","12"
"BEL","2","13"
"BEL","4","9"
"BEL","5","11"
"BEL","6","16"
"BEL","7","10"
"BEL","8","10"
"BEL","9","10"
"BEL","10","16"
"CAM","1","9"
"CAM","5","13"
"CD","1","9"
"CD","4","12"
"CD","7","10"
"CD","8","10"
"CD","9","10"
"CD","11","12"
"CT","7","10"
"CT","8","14"
"DED","1","9"
"DED","2","10"
"DED","3","10"
"DED","4","10"
"DED","5","9"
"DED","6","10"
"DED","7","10"
"DED","8","9"
"DED","9","10"
"DED","10","10"
"DED","11","10"
"DED","12","10"
"DED","13","10"
"DED","14","9"
"DED","15","10"
"DED","16","10"
"EDR","2","9"
"EDR","4","10"
"EQC","1","9"
"EQC","2","12"
"EQC","3","10"
"EVD","3","9"
"EVD","5","11"
"EVD","6","11"
"EVD","7","9"
"EVD","9","10"
"GG","8","12"
"GP","1","16"
"GP","5","9"
"GP","7","16"
"GP","8","9"
"GP","9","9"
"GP","11","9"
"GP","12","15"
"HOU","5","10"
"HOU","6","9"
"HOU","7","10"
"HOU","8","10"
"HOU","9","10"
"HOU","10","10"
"HPO","2","10"
"HPO","3","10"
"HPO","4","10"
"HPO","6","9"
"HPO","7","9"
"LAD","3","12"
"LAD","7","9"
"LS","1","11"
"LS","9","9"
"PIM","2","15"
"PIM","5","16"
"PIM","6","9"
"PIM","7","16"
"PIM","9","16"
"POD","2","10"
"POD","3","10"
"POD","4","10"
"POD","5","10"
"POD","6","10"
"POD","7","10"
"POD","8","10"
"POD","9","10"
"POD","10","10"
"POD","11","10"
"PRM","4","9"
"PRM","7","10"
"RP","1","10"
"RP","2","10"
"RP","3","10"
"RP","4","10"
"RP","5","11"
"RP","7","10"
"RP","8","10"
"RP","9","10"
"RP","10","10"
"RP","12","12"
"SA","5","9"
"SA","8","9"
"SA","9","10"
"SRP","1","9"
"SRP","2","9"
"SRP","3","12"
"SRP","5","10"
"SRP","8","9"
"SRP","9","11"
"SRP","10","12"
