"Track","RaceNumber","HorsesRunning"
"ARP","6","9"
"BEL","1","10"
"BEL","2","16"
"BEL","4","11"
"BEL","5","13"
"BEL","8","12"
"BEL","9","16"
"BTP","8","10"
"CD","7","11"
"CD","8","9"
"DEL","2","9"
"DEL","5","12"
"DEL","7","12"
"GP","3","9"
"GP","5","9"
"GP","8","9"
"IND","6","9"
"IND","7","12"
"IND","10","11"
"LRL","1","11"
"LRL","2","9"
"LRL","3","13"
"LRL","4","10"
"LRL","5","10"
"LRL","6","16"
"LRL","7","9"
"LRL","8","10"
"LRL","9","10"
"PID","2","9"
"PID","4","9"
"PID","6","9"
"PID","8","10"
"RP","5","10"
"RP","8","11"
"TDN","8","9"
