"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2020-06-30","ARP","1","Dirt","Wagonmaster Perry"," 1 ","1","10-1","Jose Meza","Uriel Delgado"
"2020-06-30","ARP","1","Dirt","Blazing for Babes"," 2 ","2","12-1","Jose Lopez","Alexander Orozco"
"2020-06-30","ARP","1","Dirt","Behavin Good"," 3 ","3","5-2","Uriel Cervantes","Robert Johnson"
"2020-06-30","ARP","1","Dirt","Mywagon"," 4 ","4","15-1","Daniel Valles","Jose Leonel Marquez"
"2020-06-30","ARP","1","Dirt","Keep On Workin"," 5 ","5","9-2","Alejandro Luna","Jose Barron"
"2020-06-30","ARP","1","Dirt","Cashsurfer"," 6 ","6","8-1","Carlos Guillen Chacon","Miguel Pena"
"2020-06-30","ARP","1","Dirt","Coronasgotheart"," 7 ","7","7-2","Fernando Fonseca-Soto","Hipolito Michel-Valverde"
"2020-06-30","ARP","2","Dirt","El Oh El"," 1 ","1","6-1","Uriel Cervantes","Robert Johnson"
"2020-06-30","ARP","2","Dirt","Turbo Boost"," 2 ","2","9-2","Manuel Meza","Miguel Pena"
"2020-06-30","ARP","2","Dirt","Toshi Yoshi"," 3 ","3","7-2","Jose Lopez","Alexander Orozco"
"2020-06-30","ARP","2","Dirt","Kooler Wagon"," 4 ","4","8-1","Jose Meza","Uriel Delgado"
"2020-06-30","ARP","2","Dirt","Jess Un Sies Mas"," 5 ","5","5-2","Alejandro Luna","Jose Barron"
"2020-06-30","ARP","2","Dirt","Dg Favorite"," 6 ","6","2-1","Jonathan Dominguez","Miguel Pena"
"2020-06-30","ARP","2","Dirt","Perkin Desire"," 7 ","7","6-1","Jhaciel Soto","Roberto Gomez"
"2020-06-30","ARP","2","Dirt","Jessinourbodgit"," 8 ","8","12-1","Roman Chapa","Jose Chavez"
"2020-06-30","ARP","3","Dirt","Cheverie"," 1 ","1","12-1","Freddy Manrrique","Kenneth Baldwin"
"2020-06-30","ARP","3","Dirt","Extreme Caution"," 2 ","2","10-1","Nathan Haar","Stetson Rushton"
