"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-04-30","AP","1","All Weather Track","Kenai Cool"," 1 ","1","7-2","Edgar Perez","Eduardo Rodriguez"
"2021-04-30","AP","1","All Weather Track","Superstar Diva"," 2 ","2","3-1","Declan Carroll","Blanca Candelas"
"2021-04-30","AP","1","All Weather Track","Hey Hey"," 3 ","3","5-1","Javier Tavares","Blanca Candelas"
"2021-04-30","AP","1","All Weather Track","Lady Express"," 4 ","4","8-1","Charles Roberts","Oscar Sanchez"
"2021-04-30","AP","1","All Weather Track","R Marie"," 5 ","5","4-1","Isaiah Wiseman","Thomas Swearingen"
"2021-04-30","AP","1","All Weather Track","Can She Scoot"," 6 ","6","5-2","Jareth Loveberry","Justin Johns"
"2021-04-30","AP","2","All Weather Track","Distinct Thunder"," 1 ","1","12-1","Diego Sanchez","Earl Hughes"
"2021-04-30","AP","2","All Weather Track","Rocket Ride"," 2 ","2","10-1","Constantino Roman","Manny Perez"
"2021-04-30","AP","2","All Weather Track","El Fefo"," 3 ","3","4-1","Christopher Emigh","Alnaz Ali"
"2021-04-30","AP","2","All Weather Track","Irish Lighted Road"," 4 ","4","6-1","Carlos Ulloa","Fernando Bahena"
"2021-04-30","AP","2","All Weather Track","White Mist"," 5 ","5","8-1","Julio Felix","Gennadi Dorochenko"
"2021-04-30","AP","2","All Weather Track","Charlie's Heir"," 6 ","6","20-1","Cristina Bonilla","Manny Perez"
"2021-04-30","AP","2","All Weather Track","Off to the Beach"," 7 ","7","15-1","Isaiah Wiseman","Earl Hughes"
"2021-04-30","AP","2","All Weather Track","Hatchet Creek"," 8 ","8","1-1","Jareth Loveberry","Larry Rivelli"
"2021-04-30","AP","3","All Weather Track","Si Es Goya"," 1 ","1","9-2","Julio Felix","Ben Delong"
"2021-04-30","AP","3","All Weather Track","Maxximum Energy"," 2 ","2","5-1","Jose Lopez","Ben Delong"
"2021-04-30","AP","3","All Weather Track","Sacra Hoxen"," 3 ","3","7-2","Edgar Perez","Armando Hernandez"
"2021-04-30","AP","3","All Weather Track","Long Station"," 4 ","4","8-1","Constantino Roman","Hugo Rodriguez"
"2021-04-30","AP","3","All Weather Track","Can't Hide From Me"," 5 ","5","7-5","Jareth Loveberry","Larry Rivelli"
"2021-04-30","AP","3","All Weather Track","Mr. Luv Maker"," 6 ","6","15-1","Isaiah Wiseman","Fernando Bahena"
"2021-04-30","AP","3","All Weather Track","Contraction"," 7 ","7","12-1","Javier Tavares","Blanca Candelas"
"2021-04-30","AP","4","All Weather Track","Sand Mountain"," 1 ","1","9-2","Declan Carroll","Larry Rivelli"
"2021-04-30","AP","4","All Weather Track","Mind Your Own Biz"," 2 ","2","5-2","Jareth Loveberry","Larry Rivelli"
"2021-04-30","AP","4","All Weather Track","Chicks for Free"," 3 ","3","8-1","Javier Tavares","Blanca Candelas"
"2021-04-30","AP","4","All Weather Track","Will Knows"," 4 ","4","7-2","Constantino Roman","Brittany Vanden Berg"
"2021-04-30","AP","4","All Weather Track","Lost in Manhattan"," 5 ","5","8-5","Christopher Emigh","Brittany Vanden Berg"
"2021-04-30","AP","4","All Weather Track","Talis Park Grad"," 6 ","6","15-1","Julio Felix","Antonio Meraz"
"2021-04-30","AP","5","All Weather Track","Lawlessness"," 1 ","1","20-1","Jermaine Bridgmohan","Ingrid Mason"
"2021-04-30","AP","5","All Weather Track","Aggressivity"," 2 ","2","5-1","Isaiah Wiseman","Michael Ewing"
"2021-04-30","AP","5","All Weather Track","Oil Money"," 3 ","3","5-2","Constantino Roman","Hugo Rodriguez"
"2021-04-30","AP","5","All Weather Track","Smokin' Jay"," 4 ","4","9-2","Christopher Emigh","Kelsey Danner"
"2021-04-30","AP","5","All Weather Track","Alphalfa"," 5 ","5","10-1","Julio Felix","Danny Werre"
"2021-04-30","AP","5","All Weather Track","Merlin's Song"," 6 ","6","6-1","Jose Lopez","Christopher Davis"
"2021-04-30","AP","5","All Weather Track","Palio"," 7 ","7","8-1","Declan Carroll","Michael Stidham"
"2021-04-30","AP","5","All Weather Track","Valiant Vinny"," 8 ","8","7-2","Jareth Loveberry","Larry Rivelli"
"2021-04-30","AP","6","Turf","The Green Mo'ster"," 1 ","1","10-1","Edgar Perez","Eduardo Rodriguez"
"2021-04-30","AP","6","Turf","Cammack"," 2 ","2","7-2","Jose Lopez","Chris Block"
"2021-04-30","AP","6","Turf","Tap the Mojo"," 3 ","3","4-1","Christopher Emigh","Brittany Vanden Berg"
"2021-04-30","AP","6","Turf","Memory Bank"," 4 ","4","5-1","Declan Carroll","Steve Manley"
"2021-04-30","AP","6","Turf","Broth"," 5 ","5","8-1","Julio Felix","Gennadi Dorochenko"
"2021-04-30","AP","6","Turf","My Bariley"," 6 ","6","4-1","Jareth Loveberry","Anthony Granitz"
"2021-04-30","AP","6","Turf","Candy Store"," 7 ","7","9-2","Constantino Roman","Michael Reavis"
"2021-04-30","AP","6","Turf","Baroque"," 8 ","8","15-1","Olaf Hernandez","Chris Banks"
"2021-04-30","AP","7","Turf","Romantic Attack"," 1 ","1","3-1","Jareth Loveberry","Vance Childers"
"2021-04-30","AP","7","Turf","Sunday Scheming"," 2 ","2","10-1","Declan Carroll","Ethan West"
"2021-04-30","AP","7","Turf","Vegan Goes Best"," 3 ","3","12-1","Javier Tavares","Blanca Candelas"
"2021-04-30","AP","7","Turf","Kingsbury Dream"," 4 ","4","9-2","Isaiah Wiseman","Vance Childers"
"2021-04-30","AP","7","Turf","Windy City Girl"," 5 ","5","6-1","Constantino Roman","Michael Reavis"
"2021-04-30","AP","7","Turf","Golden Lily"," 6 ","6","15-1","Olaf Hernandez","Chris Banks"
"2021-04-30","AP","7","Turf","Catnip Kitten"," 7 ","7","12-1","Eduardo Gallardo","Manny Perez"
"2021-04-30","AP","7","Turf","Arch Flyer"," 8 ","8","5-1","Julio Felix","Hugo Rodriguez"
"2021-04-30","AP","7","Turf","Summer Express"," 9 ","9","20-1","Edgar Perez","Eduardo Rodriguez"
"2021-04-30","AP","7","Turf","Tapalong","10 ","10","5-1","Jose Lopez","Steve Manley"
"2021-04-30","AP","8","Turf","Canihaveitlikethat"," 1 ","1","6-1","Declan Carroll","Eduardo Rodriguez"
"2021-04-30","AP","8","Turf","Honest to Goodness"," 2 ","2","5-2","Javier Tavares","Leonard Slager"
"2021-04-30","AP","8","Turf","Campioni"," 3 ","3","12-1","Diego Sanchez","Patti Miller"
"2021-04-30","AP","8","Turf","The Gray Blur"," 4 ","4","9-2","Jose Lopez","Christopher Davis"
"2021-04-30","AP","8","Turf","Overpraise"," 5 ","5","3-1","Julio Felix","Chris Banks"
"2021-04-30","AP","8","Turf","Duchossois"," 6 ","6","5-1","Christopher Emigh","Brittany Vanden Berg"
