"Track","RaceNumber","HorsesRunning"
"CD","2","11"
"CD","5","10"
"CD","7","12"
"CD","8","12"
"CD","10","12"
"DED","1","12"
"DED","3","12"
"DED","5","11"
"DED","7","12"
"DED","8","10"
"DED","9","12"
"DED","10","12"
"DMR","3","10"
"DMR","5","9"
"DMR","6","9"
"DMR","8","9"
"EVD","5","10"
"EVD","6","10"
"EVD","7","9"
"EVD","8","10"
"FL","2","9"
"FL","6","9"
"FL","8","11"
"IND","8","11"
"MNR","1","10"
"MNR","2","9"
"MNR","5","10"
"MNR","8","12"
"MVR","5","9"
"MVR","7","9"
"MVR","8","10"
"PEN","3","12"
"PEN","6","12"
"PEN","8","9"
"PRX","4","13"
"PRX","8","16"
"PRX","10","11"
"RP","2","9"
"RP","3","9"
"RP","5","11"
"RP","6","10"
"RP","7","12"
"RP","8","11"
"RP","9","14"
