"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2020-08-17","ARP","1","Dirt","WMA SAND FLEE"," 1 ","1","15-1","Mckenzie King","Sandy Gale"
"2020-08-17","ARP","1","Dirt","DERBY ROSE SA"," 2 ","2","10-1","Richard Esquibel, Jr.","David Kaden"
"2020-08-17","ARP","1","Dirt","QMR MATINA"," 3 ","3","20-1","Bryan McNeil","Scott Powell"
"2020-08-17","ARP","1","Dirt","RB KINETIC"," 4 ","4","1-1","Deudis Pena-Mora","Nicole Ruggeri"
"2020-08-17","ARP","1","Dirt","AA SPEEDBALL"," 5 ","5","9-2","Adrian Ramos","Renee Lafleur-Diaz"
"2020-08-17","ARP","1","Dirt","NILLA"," 6 ","6","7-2","Karlo Lopez","David Kaden"
"2020-08-17","ARP","1","Dirt","MOTHERSDAY SA"," 7 ","7","6-1","John Cruz","David Kaden"
"2020-08-17","ARP","1","Dirt","BIG PURITY"," 8 ","8","5-2","John Jude","Ken Danyluk"
"2020-08-17","ARP","2","Dirt","Gradioactive"," 1 ","1","7-2","Adrian Ramos","Vaughn Long"
"2020-08-17","ARP","2","Dirt","Fort Dodge Rd"," 2 ","2","9-2","Richard Esquibel, Jr.","Mark Esquibel"
"2020-08-17","ARP","2","Dirt","Oopsy Daisy"," 3 ","3","5-2","Travis Wales","Stetson Rushton"
"2020-08-17","ARP","2","Dirt","She's My Fortyfive"," 4 ","4","10-1","Roman Chapa","Raina Hudson"
"2020-08-17","ARP","2","Dirt","Woody Girl"," 5 ","5","15-1","Mike Luark","Jose Chavez"
"2020-08-17","ARP","2","Dirt","Unusualgift"," 6 ","6","12-1","Deudis Pena-Mora","Roshan Charlton"
"2020-08-17","ARP","2","Dirt","Ruby Sparkles"," 7 ","7","20-1","John Jude","Tyrone Gleason"
"2020-08-17","ARP","3","Dirt","Dribbles"," 1 ","1","8-1","Freddy Manrrique","Temple Rushton"
"2020-08-17","ARP","3","Dirt","War Eagle's Return"," 2 ","2","15-1","Mike Luark","Monty Luark"
"2020-08-17","ARP","3","Dirt","Dream Baby Dream"," 3 ","3","2-1","Alfredo Triana Jr.","Tyrone Gleason"
"2020-08-17","ARP","3","Dirt","Rolls Royce Deal"," 4 ","4","5-1","Travis Wales","Patrick Fields"
