"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-05-02","BEL","1","Inner turf","The Last Zip","1  ","8","5-2","Joel Rosario","Michael Maker"
"2021-05-02","BEL","1","Inner turf","Rhythm Section","1A ","10","5-2","Jose Ortiz","Michael Maker"
"2021-05-02","BEL","1","Inner turf","Respect for All","2  ","1","20-1","Kendrick Carmouche","Bruce Brown"
"2021-05-02","BEL","1","Inner turf","Mo Gotcha","3  ","2","5-1","Manuel Franco","Rob Atras"
"2021-05-02","BEL","1","Inner turf","Not That Brady","4  ","3","30-1","Gary Richards","Lenin Cruz"
"2021-05-02","BEL","1","Inner turf","Ninja Dust","5  ","4","15-1","Hector Diaz, Jr.","Carlos Martin"
"2021-05-02","BEL","1","Inner turf","Kid Chocolate","6  ","5","30-1","Luis Rodriguez Castro","Gary Sciacca"
"2021-05-02","BEL","1","Inner turf","No Salt","7  ","6","30-1","Benjamin Hernandez","Keith O'Brien"
"2021-05-02","BEL","1","Inner turf","Boru","8  ","7","7-5","Irad Ortiz, Jr.","Vladimir Cerin"
"2021-05-02","BEL","1","Inner turf","Turn of Events"," 9 ","9","4-1","Trevor McCarthy","Michael Trombetta"
"2021-05-02","BEL","2","Dirt","Bears Mafia"," 1 ","1","8-1","Kendrick Carmouche","Jeffrey Englehart"
"2021-05-02","BEL","2","Dirt","Golani Brigade"," 2 ","2","4-1","Javier Castellano","Chad Brown"
"2021-05-02","BEL","2","Dirt","Ny Traffic"," 3 ","3","3-5","Irad Ortiz, Jr.","Saffie Joseph, Jr."
"2021-05-02","BEL","2","Dirt","Control Group"," 4 ","4","9-2","Trevor McCarthy","Wayne Potts"
"2021-05-02","BEL","2","Dirt","Bourbon Bay"," 5 ","5","12-1","John Velazquez","Mark Hennig"
"2021-05-02","BEL","2","Dirt","Microscope"," 6 ","6","12-1","Jose Ortiz","Gary Sciacca"
"2021-05-02","BEL","3","Inner turf","King James"," 1 ","1","6-1","Junior Alvarado","James Jerkens"
"2021-05-02","BEL","3","Inner turf","King of Miami"," 2 ","2","7-2","Jose Ortiz","Wesley Ward"
"2021-05-02","BEL","3","Inner turf","Lemon Drop Road"," 3 ","3","6-1","Jose Lezcano","James Jerkens"
"2021-05-02","BEL","3","Inner turf","Da Stamina Man"," 4 ","4","50-1","Gary Richards","Clarence King"
"2021-05-02","BEL","3","Inner turf","Askin for a Baskin"," 5 ","5","10-1","Manuel Franco","Jeremiah Englehart"
"2021-05-02","BEL","3","Inner turf","Ranger Fox"," 6 ","6","8-1","Joel Rosario","John Terranova II"
"2021-05-02","BEL","3","Inner turf","Islandman"," 7 ","7","50-1","Benjamin Hernandez","Andrew Williams"
"2021-05-02","BEL","3","Inner turf","Mr Annoying"," 8 ","8","2-1","Irad Ortiz, Jr.","Michael Maker"
"2021-05-02","BEL","3","Inner turf","Deregulation (GB)"," 9 ","9","4-1","Eric Cancel","Chad Brown"
"2021-05-02","BEL","4","Turf","King of Spades"," 1 ","1","20-1","Nik Juarez","Kelly Breen"
"2021-05-02","BEL","4","Turf","Attentive"," 2 ","2","5-1","Joel Rosario","Michael Maker"
"2021-05-02","BEL","4","Turf","Nutzforboltz"," 3 ","3","12-1","Hector Diaz, Jr.","Rob Atras"
"2021-05-02","BEL","4","Turf","Rejected Again"," 4 ","4","8-1","Manuel Franco","Michael Maker"
"2021-05-02","BEL","4","Turf","Soglio"," 5 ","5","5-2","Jose Ortiz","Steve Klesaris"
"2021-05-02","BEL","4","Turf","Mandate"," 6 ","6","3-1","Kendrick Carmouche","Todd Pletcher"
"2021-05-02","BEL","4","Turf","Gio d'Oro"," 7 ","7","20-1","Joe Bravo","Rudy Rodriguez"
"2021-05-02","BEL","4","Turf","Flowers for Lisa"," 8 ","8","5-2","Kendrick Carmouche","Bruce Levine"
"2021-05-02","BEL","4","Turf","American Lincoln"," 9 ","9","15-1","Luis Rodriguez Castro","Jesus Romero"
"2021-05-02","BEL","4","Turf","Gearhead","10 ","10","5-1","Trevor McCarthy","Michael Trombetta"
"2021-05-02","BEL","4","Turf","Soulmate","11 ","11","15-1","Benjamin Hernandez","John Pregman, Jr."
"2021-05-02","BEL","4","Turf","Castagno","12 ","12","15-1","Eric Cancel","Mertkan Kantarmaci"
"2021-05-02","BEL","4","Turf","Runabout","13 ","13","5-1","Hector Diaz, Jr.","Oscar Barrera, III"
"2021-05-02","BEL","5","Dirt","River Dog"," 1 ","1","12-1","Manuel Franco","Jeremiah Englehart"
"2021-05-02","BEL","5","Dirt","Nemo's Fortune"," 2 ","2","3-1","Kendrick Carmouche","Bruce Levine"
"2021-05-02","BEL","5","Dirt","Out of the Breech"," 3 ","3","30-1","Benjamin Hernandez","Gary Sciacca"
"2021-05-02","BEL","5","Dirt","Clear Humor"," 4 ","4","10-1","Jose Lezcano","George Weaver"
"2021-05-02","BEL","5","Dirt","Blitz to Win"," 5 ","5","7-2","Javier Castellano","Barclay Tagg"
"2021-05-02","BEL","5","Dirt","Myquest"," 6 ","6","20-1","Nik Juarez","Martin Digrius"
"2021-05-02","BEL","5","Dirt","Devil Boy"," 7 ","7","6-1","Jose Ortiz","Jeremiah Englehart"
"2021-05-02","BEL","5","Dirt","Crock of Gold"," 8 ","8","15-1","Eric Cancel","Gary Sciacca"
"2021-05-02","BEL","5","Dirt","Oliver's Fortune"," 9 ","9","15-1","Trevor McCarthy","James Ferraro"
"2021-05-02","BEL","5","Dirt","Prince of Joy","10 ","10","50-1","Luis Rodriguez Castro","Ricardo Legall"
"2021-05-02","BEL","5","Dirt","Big Bobby","11 ","11","8-1","Junior Alvarado","William Mott"
"2021-05-02","BEL","5","Dirt","Hereby","12 ","12","5-1","Joel Rosario","Christophe Clement"
"2021-05-02","BEL","6","Turf","Brazillionaire"," 1 ","1","5-1","Eric Cancel","Linda Rice"
"2021-05-02","BEL","6","Turf","Doublepour"," 2 ","2","20-1","John Velazquez","Mark Hennig"
"2021-05-02","BEL","6","Turf","Tolaga Bay"," 3 ","3","10-1","Michael Luzzi","Archibald Kingsley, Jr."
"2021-05-02","BEL","6","Turf","Time to Testify"," 4 ","4","8-1","Luis Rodriguez Castro","John Toscano, Jr."
"2021-05-02","BEL","6","Turf","True Palace"," 5 ","5","50-1","Nik Juarez","Darmindra Dharamjit"
"2021-05-02","BEL","6","Turf","Gimme Some Mo"," 6 ","6","3-1","Manuel Franco","Todd Pletcher"
"2021-05-02","BEL","6","Turf","Future Victory"," 7 ","7","7-2","Irad Ortiz, Jr.","Todd Pletcher"
"2021-05-02","BEL","6","Turf","Jacoba"," 8 ","8","30-1","Kendrick Carmouche","Jeremiah Englehart"
"2021-05-02","BEL","6","Turf","Front Man"," 9 ","9","15-1","Jose Lezcano","Mertkan Kantarmaci"
"2021-05-02","BEL","6","Turf","Blue Lou Boyle (IRE)","10 ","10","7-2","Joel Rosario","Mark Casse"
"2021-05-02","BEL","6","Turf","Swinging Sticks","11 ","11","20-1","Benjamin Hernandez","Patrick Quick"
"2021-05-02","BEL","7","Inner turf","Sono Grato"," 1 ","1","6-1","Eric Cancel","Cleveland Johnson"
"2021-05-02","BEL","7","Inner turf","Restored Order"," 2 ","2","8-1","Kendrick Carmouche","Todd Pletcher"
"2021-05-02","BEL","7","Inner turf","Guillaume"," 3 ","3","20-1","Trevor McCarthy","Michael Stidham"
"2021-05-02","BEL","7","Inner turf","Mira Mission"," 4 ","4","8-1","Jose Ortiz","Thomas Bush"
"2021-05-02","BEL","7","Inner turf","Space Launch"," 5 ","5","5-1","Joel Rosario","Christophe Clement"
"2021-05-02","BEL","7","Inner turf","Finding Freedom"," 6 ","6","9-2","Javier Castellano","Chad Brown"
"2021-05-02","BEL","7","Inner turf","Public Sector (GB)"," 7 ","7","7-2","Irad Ortiz, Jr.","Chad Brown"
"2021-05-02","BEL","7","Inner turf","Colton's Command"," 8 ","8","5-2","Junior Alvarado","William Mott"
"2021-05-02","BEL","7","Inner turf","Arzak"," 9 ","9","12-1","Eric Cancel","Michael Trombetta"
"2021-05-02","BEL","7","Inner turf","Safe Conduct","10 ","10","12-1","Jose Lezcano","Philip Serpe"
"2021-05-02","BEL","7","Inner turf","Good Culture","11 ","11","2-1","Manuel Franco","George Weaver"
"2021-05-02","BEL","8","Dirt","Vault"," 1 ","1","6-1","Joel Rosario","Brad Cox"
"2021-05-02","BEL","8","Dirt","Water White"," 2 ","2","5-1","Irad Ortiz, Jr.","Rudy Rodriguez"
"2021-05-02","BEL","8","Dirt","Our Super Freak"," 3 ","3","8-5","Jose Ortiz","Cherie DeVaux"
"2021-05-02","BEL","8","Dirt","Lake Avenue"," 4 ","4","7-5","Junior Alvarado","William Mott"
"2021-05-02","BEL","8","Dirt","Saguaro Row"," 5 ","5","15-1","Trevor McCarthy","J. Sweezey"
"2021-05-02","BEL","8","Dirt","Gibberish"," 6 ","6","8-1","Javier Castellano","Saffie Joseph, Jr."
"2021-05-02","BEL","9","Turf","Bird Ruler"," 1 ","1","12-1","Kendrick Carmouche","Bruce Levine"
"2021-05-02","BEL","9","Turf","Confectioner"," 2 ","2","30-1","Hector Diaz, Jr.","Wayne Potts"
"2021-05-02","BEL","9","Turf","Loaded Joe"," 3 ","3","15-1","Luis Rodriguez Castro","Gregory DiPrima"
"2021-05-02","BEL","9","Turf","Count Down"," 4 ","4","6-5","John Velazquez","Michael Matz"
"2021-05-02","BEL","9","Turf","Ballydooley (GB)"," 5 ","5","10-1","Eric Cancel","Michelle Nevin"
"2021-05-02","BEL","9","Turf","Raising Sand"," 6 ","6","10-1","Joel Rosario","Carlos Martin"
"2021-05-02","BEL","9","Turf","Orders"," 7 ","7","8-1","Junior Alvarado","William Mott"
"2021-05-02","BEL","9","Turf","Quick Intro"," 8 ","8","12-1","Manuel Franco","John Terranova II"
"2021-05-02","BEL","9","Turf","Wilton"," 9 ","9","8-1","Trevor McCarthy","Michael Stidham"
"2021-05-02","BEL","9","Turf","Inappropriate","10 ","10","15-1","Michael Luzzi","Domenick Schettino"
"2021-05-02","BEL","9","Turf","Congrats for Glory","11 ","11","15-1","Javier Castellano","Thomas Bush"
"2021-05-02","BEL","9","Turf","Camouflaged Kisser","12 ","12","20-1","Benjamin Hernandez","Keith O'Brien"
"2021-05-02","BEL","9","Turf","Kentucky Knight","13 ","13","8-1","Manuel Franco","Amira Chichakly"
"2021-05-02","BEL","9","Turf","Ocean Deep","14 ","14","15-1","Trevor McCarthy","John Pregman, Jr."
"2021-05-02","BEL","9","Turf","Awesome Yet Again","15 ","15","50-1","Hector Diaz, Jr.","Wayne Potts"
"2021-05-02","EQC","1","Dirt","Ole Silver"," 1 ","1","8-1","Jessica Pyfer","Philip D'Amato"
"2021-05-02","EQC","1","Dirt","Big Beauty"," 2 ","2","4-1","Flavien Prat","Clifford Sise, Jr."
"2021-05-02","EQC","1","Dirt","Time for Ebby"," 3 ","3","5-1","Tyler Baze","Gary Stute"
"2021-05-02","EQC","1","Dirt","Homehome"," 4 ","4","4-1","Mario Gutierrez","Doug O'Neill"
"2021-05-02","EQC","1","Dirt","Scarlet Heat"," 5 ","5","6-1","Jose Valdivia, Jr.","Dan Blacker"
"2021-05-02","EQC","1","Dirt","Pawnee"," 6 ","6","3-1","Umberto Rispoli","Thomas Bell, II"
"2021-05-02","EQC","1","Dirt","Warrior's Moon"," 7 ","7","7-2","Abel Cedillo","Peter Eurton"
"2021-05-02","EQC","2","All Weather Track","Leadville"," 1 ","1","8-1","Brayan Pena","Felix Rondan"
"2021-05-02","EQC","2","All Weather Track","Smile for Ashley"," 2 ","2","20-1","Francisco Monroy","Isidro Tamayo"
"2021-05-02","EQC","2","All Weather Track","Kincaid Park"," 3 ","3","5-1","Armando Ayuso","Isidro Tamayo"
"2021-05-02","EQC","2","All Weather Track","Ice Or Fire"," 4 ","4","6-1","Kevin Orozco","Jose Bautista"
"2021-05-02","EQC","2","All Weather Track","Wise River Ray"," 5 ","5","9-2","Leonel Camacho-Flores","Manuel Badilla"
"2021-05-02","EQC","2","All Weather Track","Gentleman's Secret"," 6 ","6","10-1","Alejandro Gomez","Marcelino Trujillo"
"2021-05-02","EQC","2","All Weather Track","Hot Socks"," 7 ","7","5-2","Evin Roman","Jonathan Wong"
"2021-05-02","EQC","2","All Weather Track","Katzumoto"," 8 ","8","7-2","Kyle Frey","Pablo De Jesus"
"2021-05-02","EQC","2","All Weather Track","Rock Slinger"," 9 ","9","20-1","Julien Couton","Clifford DeLima"
"2021-05-02","EQC","3","Turf","Class Code"," 1 ","1","6-1","Geovanni Franco","Carla Gaines"
"2021-05-02","EQC","3","Turf","Queen of Pompeii"," 2 ","2","6-1","Juan Hernandez","Carla Gaines"
"2021-05-02","EQC","3","Turf","Starship Endeavor"," 3 ","3","30-1","Jessica Pyfer","Robert Hess, Jr."
"2021-05-02","EQC","3","Turf","Bossy Soul"," 4 ","4","6-1","Alexis Centeno","Mark Glatt"
"2021-05-02","EQC","3","Turf","Our Miss Millie"," 5 ","5","4-1","Flavien Prat","J. Kruljac"
"2021-05-02","EQC","3","Turf","Chao Mar"," 6 ","6","15-1","Tyler Baze","Gary Stute"
"2021-05-02","EQC","3","Turf","Blazingbellablu"," 7 ","7","7-2","Abel Cedillo","Manuel Ortiz, Sr."
"2021-05-02","EQC","3","Turf","Lava Lane"," 8 ","8","9-5","Umberto Rispoli","Philip D'Amato"
"2021-05-02","EQC","4","All Weather Track","Winds Aloft"," 1 ","1","20-1","Cristobal Herrera","Debbie Winick"
"2021-05-02","EQC","4","All Weather Track","Broadway Babe"," 2 ","2","15-1","Hugo Herrera","Sherrie Monroe"
"2021-05-02","EQC","4","All Weather Track","Lil Indian Annie"," 3 ","3","15-1","Jose Rodriguez","Ellen Jackson"
"2021-05-02","EQC","4","All Weather Track","Zu Zu Flynn"," 4 ","4","6-1","Armando Ayuso","Steven Miyadi"
"2021-05-02","EQC","4","All Weather Track","Sweet Topper"," 5 ","5","9-2","Julien Couton","Quentin Miller"
"2021-05-02","EQC","4","All Weather Track","Holy Catholic"," 6 ","6","2-1","Kyle Frey","Sergio Ledezma"
"2021-05-02","EQC","4","All Weather Track","Peggy Slew"," 7 ","7","3-1","Irving Orozco","Isidro Tamayo"
"2021-05-02","EQC","4","All Weather Track","Clare's Irish Eyes"," 8 ","8","20-1","Evin Roman","Marcia Stortz"
"2021-05-02","EQC","4","All Weather Track","Sassy Einstein"," 9 ","9","6-1","Assael Espinoza","Jesus Ramos"
"2021-05-02","GG","1","All Weather Track","Crown and Pickles"," 1 ","1","4-1","Jose Rodriguez","William Delia"
