"Track","RaceNumber","HorsesRunning"
"BTP","8","10"
"CBY","3","13"
"CBY","4","12"
"CBY","5","12"
"CBY","10","9"
"DED","1","10"
"DED","3","10"
"DED","5","10"
"DED","6","10"
"DED","7","10"
"DED","8","9"
"DED","9","10"
"FL","2","9"
"FL","8","12"
"FMT","6","9"
"FMT","12","10"
"GRP","2","9"
"GRP","3","10"
"GRP","4","9"
"GRP","5","10"
"GRP","7","10"
"GRP","9","9"
"IND","7","10"
"IND","8","13"
"IND","10","9"
"LAD","3","9"
"LAD","5","11"
"MNR","1","12"
"MNR","2","12"
"MNR","3","9"
"MNR","7","9"
"MNR","8","9"
"PEN","2","10"
"PEN","3","10"
"PEN","4","11"
"PRX","5","10"
"PRX","8","12"
"PRX","9","12"
"PRX","10","12"
"PRX","11","11"
"TDN","7","9"
