"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2021-03-17","DED","MAIDEN CLAIMING($5,000) ","1","Landwoman's Gift","20-1"," 2 ","2","FTL","Chatain"
"2021-03-17","DED","MAIDEN CLAIMING($5,000) ","1","Sky Show","8-1"," 3 ","3","FTL","Creative Cause"
"2021-03-17","DED","MAIDEN CLAIMING($5,000) ","1","True Brown Slew","6-1"," 5 ","5","FTL","Forefathers"
"2021-03-17","DED","MAIDEN SPECIAL WEIGHT ","3","Leyton's Hippie","20-1"," 5 ","5","FTL","Run Production"
"2021-03-17","DED","MAIDEN SPECIAL WEIGHT ","3","Silver Chalice","10-1"," 9 ","9","FTL","Flashpoint"
"2021-03-17","GP","CLAIMING($12,500) ","6","C. P. A. Genius","5-2"," 1 ","1","FTL","Anthony's Cross"
"2021-03-17","GP","ALLOWANCE OPTIONAL CLAIMING($16,000) ","7","Blueyed Princess","20-1"," 4 ","4","FTL","Biondetti"
"2021-03-17","HOU","ALLOWANCE OPTIONAL CLAIMING($30,000) ","6","Forty Nine Model","4-1"," 8 ","8","FTL","Daaher"
"2021-03-17","HOU","MAIDEN CLAIMING($7,500) ","10","Punxsutawney Joe","12-1"," 3 ","3","FTL","Conveyance"
"2021-03-17","PEN","MAIDEN SPECIAL WEIGHT ","1","Midtown","7-2","1  ","4","FTL","Orientate"
"2021-03-17","PEN","MAIDEN SPECIAL WEIGHT ","1","Ruled by the Moon","6-1"," 6 ","6","FTL","Mizzen Mast"
"2021-03-17","PEN","MAIDEN SPECIAL WEIGHT ","7","Ashaab","5-2","1A ","3","FTL","Tapit"
"2021-03-17","PEN","MAIDEN CLAIMING($22,500) ","9","Who You Say I Am","5-2"," 3 ","3","FTL","Gemologist"
"2021-03-17","PEN","MAIDEN CLAIMING($22,500) ","9","Mr Clipboard","5-1"," 7 ","7","FTL","Petionville"
"2021-03-17","PRX","STARTER OPTIONAL CLAIMING($16,000) ","2","Dial a Lady","8-1"," 3 ","3","FTL","Dialed In"
"2021-03-17","PRX","ALLOWANCE OPTIONAL CLAIMING($50,000) ","7","Aegean Sea","3-1"," 3 ","3","FTL","Strong Mandate"
"2021-03-17","PRX","ALLOWANCE OPTIONAL CLAIMING($50,000) ","7","Beautiful Grace","4-1"," 7 ","7","FTL","Dominus"
"2021-03-17","TAM","MAIDEN CLAIMING($16,000) ","5","New Account","20-1"," 5 ","5","FTL","Drill"
"2021-03-17","TUP","MAIDEN OPTIONAL CLAIMING($30,000) ","2","Ms Michelle","8-1"," 5 ","5","FTL","Creative Cause"
"2021-03-17","TUP","MAIDEN OPTIONAL CLAIMING($30,000) ","4","Reliant","6-1"," 3 ","3","FTL","Cairo Prince"
"2021-03-17","TUP","MAIDEN OPTIONAL CLAIMING($30,000) ","4","Who's Asking","6-1"," 7 ","7","FTL","Stephanotis"
