"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2020-09-15","BTP","MAIDEN CLAIMING($12,500) ","1","Platinum Mac","5-1"," 5 ","5","FTL","Maclean's Music"
"2020-09-15","FL","MAIDEN CLAIMING($7,500) ","4","Palaceofresentment","15-1"," 5 ","5","FTL","Palace"
"2020-09-15","FL","MAIDEN CLAIMING($7,500) ","4","Pebbles Fantasy","6-1","9  ","10","FTL","Bustin Stones"
"2020-09-15","IND","MAIDEN SPECIAL WEIGHT ","4","Unraveled","20-1"," 3 ","3","FTL","Taprize"
"2020-09-15","IND","MAIDEN SPECIAL WEIGHT ","4","Strong Style","20-1"," 4 ","4","FTL","Strong Hope"
"2020-09-15","IND","MAIDEN SPECIAL WEIGHT ","4","Sha Kon O Hey","20-1"," 5 ","5","FTL","Taprize"
"2020-09-15","IND","ALLOWANCE ","5","Scat's Choice","3-1"," 3 ","3","FTL","First Samurai"
"2020-09-15","IND","MAIDEN SPECIAL WEIGHT ","6","Sugar and Sass","6-1"," 5 ","5","FTL","Empire Maker"
"2020-09-15","IND","MAIDEN SPECIAL WEIGHT ","8","Mommy Berta","30-1"," 2 ","2","FTL","Can the Man"
"2020-09-15","IND","MAIDEN SPECIAL WEIGHT ","8","Chakra","10-1"," 3 ","3","FTL","Munnings"
"2020-09-15","IND","MAIDEN SPECIAL WEIGHT ","8","Saturday Night","1-1"," 4 ","4","FTL","Tapit"
"2020-09-15","IND","MAIDEN SPECIAL WEIGHT ","8","Lollygag","3-1"," 6 ","6","FTL","Freud"
"2020-09-15","IND","MAIDEN SPECIAL WEIGHT ","8","Abby Swan","20-1"," 8 ","8","FTL","Grazen"
"2020-09-15","IND","MAIDEN SPECIAL WEIGHT ","8","Artie Fever","20-1","12 ","12","FTL","Artie Schiller"
"2020-09-15","LAD","MAIDEN CLAIMING($5,000) ","1","My Call","12-1","1A ","9","FTL","Silent Pleasure"
"2020-09-15","LAD","MAIDEN CLAIMING($5,000) ","1","Defatta","15-1"," 3 ","3","FTL","Interactif"
"2020-09-15","LAD","MAIDEN SPECIAL WEIGHT ","6","Hail State","10-1"," 9 ","9","FTL","Quality Road"
"2020-09-15","MNR","MAIDEN SPECIAL WEIGHT ","6","Queen Knowlege","20-1"," 2 ","2","FTL","Astrology"
"2020-09-15","PRX","MAIDEN SPECIAL WEIGHT ","8","Catti La Belle","20-1","8  ","9","FTL","Outwork"
