"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2021-04-06","DED","MAIDEN SPECIAL WEIGHT ","5","Bordeaux Red","6-1"," 3 ","3","FTL","Texas Red"
"2021-04-06","DED","MAIDEN SPECIAL WEIGHT ","5","Candy Curl","3-1"," 6 ","6","FTL","Twirling Candy"
"2021-04-06","DED","MAIDEN SPECIAL WEIGHT ","5","Powershot","6-1"," 9 ","9","FTL","Power Broker"
"2021-04-06","DED","MAIDEN CLAIMING($10,000) ","7","Brenda's Doll","20-1"," 4 ","4","FTL","Harborage"
"2021-04-06","LAD","MAIDEN ","3","Leesas Moon Man","12-1"," 1 ","1","FTL","Moonin the Eagle"
"2021-04-06","LAD","MAIDEN ","3","Energy Tales","12-1"," 2 ","2","FTL","Wagon Tales"
"2021-04-06","LAD","MAIDEN ","3","Patriot Dash","15-1"," 5 ","5","FTL","Jet Black Patriot"
"2021-04-06","LAD","MAIDEN ","3","Tf That Girls Fortun","15-1"," 8 ","8","FTL","Tf Im That Guy"
"2021-04-06","LAD","MAIDEN ","5","The Louisiana Prize","15-1"," 1 ","1","FTL","The Louisiana Cartel"
"2021-04-06","LAD","MAIDEN ","5","Shes Jess So Special","12-1"," 2 ","2","FTL","Jess an Idea"
"2021-04-06","LAD","MAIDEN ","5","Whos Train","15-1"," 3 ","3","FTL","Bp Wagon Train"
"2021-04-06","LAD","MAIDEN ","5","Jrs Carters Shadow","9-5"," 4 ","4","FTL","Carters Cartel"
"2021-04-06","LAD","MAIDEN ","5","Kk Make Desires","15-1"," 5 ","5","FTL","Make It Anywhere"
"2021-04-06","LAD","MAIDEN ","5","Streakin Train Perry","10-1"," 6 ","6","FTL","Freighttrain B"
"2021-04-06","LAD","MAIDEN ","5","Im No Stranger","5-2"," 7 ","7","FTL","Coronas Leaving You"
"2021-04-06","LAD","MAIDEN ","5","Haleys Fast Cash","12-1"," 8 ","8","FTL","Ajs Fast Dash"
"2021-04-06","LAD","MAIDEN ","5","Tastreakoffire","7-2"," 9 ","9","FTL","Highest Fire"
"2021-04-06","MVR","MAIDEN SPECIAL WEIGHT ","8","I Got Hope","10-1","9  ","9","FTL","William's Kitten"
"2021-04-06","PRX","MAIDEN SPECIAL WEIGHT ","5","Ninetypercentbrynn","4-1"," 3 ","3","FTL","Weigelia"
"2021-04-06","TUP","TRIALS ","1","Yard House","5-1"," 2 ","2","FTL","Favorite Cartel"
"2021-04-06","TUP","TRIALS ","1","Fs Eye Maxx","12-1"," 4 ","4","FTL","Maxximuss"
"2021-04-06","TUP","TRIALS ","1","Jess I Am Lucky","15-1"," 6 ","6","FTL","Jess Another Perry"
"2021-04-06","TUP","TRIALS ","1","Maudest Maven","6-1"," 7 ","7","FTL","Apollitical Jess"
"2021-04-06","TUP","TRIALS ","1","Kj Desparado","3-1"," 8 ","8","FTL","Apollitical Jess"
"2021-04-06","TUP","TRIALS ","1","B in Excess","10-1","10 ","10","FTL","Freighttrain B"
"2021-04-06","TUP","TRIALS ","2","Babysharksharkshark","6-1"," 1 ","1","FTL","One Handsome Man"
"2021-04-06","TUP","TRIALS ","2","Fdd Fling","5-1"," 2 ","2","FTL","Fdd Dynasty"
"2021-04-06","TUP","TRIALS ","2","Apolitical Miracle","8-1"," 4 ","4","FTL","Apollitical Jess"
"2021-04-06","TUP","TRIALS ","2","American Skandal","10-1"," 5 ","5","FTL","Apollitical Jess"
"2021-04-06","TUP","TRIALS ","2","Mr Zee","8-1"," 7 ","7","FTL","Ivory James"
"2021-04-06","TUP","TRIALS ","2","Wagon Coast","10-1"," 8 ","8","FTL","Pyc Paint Your Wagon"
"2021-04-06","TUP","TRIALS ","2","Myy Stolin Moon","4-1"," 9 ","9","FTL","Moonifisant"
"2021-04-06","TUP","TRIALS ","3","Dashing Illusions","6-1"," 1 ","1","FTL","Pyc Paint Your Wagon"
"2021-04-06","TUP","TRIALS ","3","Royal Racin Rose","5-1"," 2 ","2","FTL","Volcom"
"2021-04-06","TUP","TRIALS ","3","Ms La Tormenta","8-1"," 3 ","3","FTL","Henoshersecret"
"2021-04-06","TUP","TRIALS ","3","Hs Golden Eagle","3-1"," 4 ","4","FTL","Osbaldo"
"2021-04-06","TUP","TRIALS ","3","Blues Louisianalady","6-1"," 5 ","5","FTL","Jess Louisiana Blue"
"2021-04-06","TUP","TRIALS ","3","Ap Adamari","8-1"," 8 ","8","FTL","Kiddy Up"
"2021-04-06","TUP","TRIALS ","3","Im Flashy","4-1"," 9 ","9","FTL","First Moonflash"
"2021-04-06","TUP","TRIALS ","4","Bf Daddys Girl","6-1"," 2 ","2","FTL","Big Daddy Cartel"
"2021-04-06","TUP","TRIALS ","4","One Mystery Lover V","4-1"," 3 ","3","FTL","Separatist"
"2021-04-06","TUP","TRIALS ","4","Jess Ring the Bell","8-1"," 4 ","4","FTL","Jess a Chicks"
"2021-04-06","TUP","TRIALS ","4","Woman in Gold","5-1"," 5 ","5","FTL","Mr Jess Perry"
"2021-04-06","TUP","TRIALS ","4","Gaels Eagle","6-1"," 6 ","6","FTL","Moonin the Eagle"
"2021-04-06","TUP","TRIALS ","4","Hs Hawk","10-1"," 7 ","7","FTL","Osbaldo"
"2021-04-06","TUP","TRIALS ","4","Apollitical Showoff","8-1"," 8 ","8","FTL","Apollitical Jess"
"2021-04-06","TUP","TRIALS ","5","Wr Desert Soldier","6-1"," 1 ","1","FTL","Bv Travelin Soldier"
"2021-04-06","TUP","TRIALS ","5","Princess Duponte","10-1"," 2 ","2","FTL","Duponte"
"2021-04-06","TUP","TRIALS ","5","First Fine Oak","12-1"," 4 ","4","FTL","Fine Oak Corona"
"2021-04-06","TUP","TRIALS ","5","Jess a Hot Babe","15-1"," 5 ","5","FTL","Jess a Chicks"
"2021-04-06","TUP","TRIALS ","5","Z Ya","5-1"," 7 ","7","FTL","First Moonflash"
"2021-04-06","TUP","TRIALS ","5","Flash Rythm","8-1"," 9 ","9","FTL",
"2021-04-06","TUP","TRIALS ","5","Tresponte","5-1","10 ","10","FTL","Duponte"
"2021-04-06","TUP","TRIALS ","6","Dixie Park","6-1"," 1 ","1","FTL","Separatist"
"2021-04-06","TUP","TRIALS ","6","Dedikated","4-1"," 2 ","2","FTL","Duponte"
"2021-04-06","TUP","TRIALS ","6","Kj Suzy Q","8-1"," 4 ","4","FTL","Kiss My Hocks"
"2021-04-06","TUP","TRIALS ","6","La Cuchara","9-2"," 5 ","5","FTL","Jess Good Candy"
"2021-04-06","TUP","TRIALS ","6","Rc a Revenant Dream","3-1"," 6 ","6","FTL","A Revenant"
"2021-04-06","TUP","TRIALS ","6","Flashfire T","15-1"," 7 ","7","FTL","Righter"
"2021-04-06","TUP","TRIALS ","6","Love N the Moon","6-1"," 8 ","8","FTL","First Moonflash"
