"Track","RaceNumber","HorsesRunning"
"BC","5","19"
"BC","6","11"
"BC","7","16"
"BC","8","12"
"BC","9","24"
"BC","10","11"
"BC","11","22"
"BC","12","10"
"BCC","1","12"
"BCC","2","9"
"BCD","2","11"
"BCT","1","16"
"BCT","2","18"
"BEL","2","16"
"BEL","5","12"
"BEL","7","9"
"BEL","9","10"
"BEL","10","16"
"BTV","1","18"
"BTV","2","12"
"BTV","3","16"
"BTV","4","18"
"CD","4","12"
"CD","6","9"
"CD","8","11"
"CD","9","9"
"CD","11","15"
"CT","7","10"
"DED","1","12"
"DED","3","11"
"DED","5","11"
"DED","6","10"
"DED","7","10"
"DED","8","10"
"DED","9","11"
"DED","10","12"
"DMR","1","9"
"DMR","3","9"
"DMR","5","18"
"DMR","7","12"
"DMR","8","9"
"DMR","9","16"
"DMR","10","11"
"DMR","11","18"
"DMR","12","9"
"EVD","8","9"
"GG","5","9"
"GG","9","9"
"GG","10","9"
"GG","11","11"
"GP","1","10"
"GP","3","9"
"GP","4","11"
"GP","6","9"
"GP","7","10"
"GP","8","13"
"GP","9","9"
"GP","10","13"
"GP","11","12"
"HAW","1","10"
"HAW","3","12"
"HAW","5","14"
"HAW","7","10"
"HAW","8","11"
"KEE","1","9"
"KEE","3","9"
"KEE","5","18"
"KEE","7","12"
"KEE","8","9"
"KEE","9","16"
"KEE","10","11"
"KEE","11","18"
"KEE","12","9"
"LA","1","10"
"LRL","1","11"
"LRL","6","10"
"LRL","7","13"
"LS","1","10"
"LS","2","12"
"LS","3","11"
"LS","4","9"
"LS","5","9"
"LS","6","9"
"LS","7","9"
"LS","8","9"
"LS","9","9"
"LS","10","10"
"LS","11","9"
"LS","12","9"
"MTP","3","10"
"MVR","1","10"
"MVR","3","10"
"MVR","5","10"
"MVR","7","10"
"MVR","8","10"
"RP","1","10"
"RP","3","12"
"RP","4","10"
"RP","5","10"
"RP","6","10"
"RP","7","9"
"RP","8","12"
"RP","9","12"
"TUP","2","11"
"TUP","6","12"
"TUP","7","9"
"TUP","8","12"
"WRD","1","9"
"WRD","2","9"
"WRD","4","10"
"WRD","6","10"
"WRD","7","10"
"WRD","8","10"
"WRD","9","10"
