"Track","RaceNumber","HorsesRunning"
"AP","6","9"
"AP","8","9"
"BEL","3","9"
"BEL","5","9"
"BEL","6","9"
"BEL","7","9"
"BEL","9","12"
"BEL","10","16"
"CD","4","12"
"CD","5","9"
"CD","7","14"
"CD","8","12"
"CD","9","11"
"CD","11","9"
"CT","4","9"
"CT","6","10"
"CT","8","11"
"DED","1","10"
"DED","3","10"
"DED","5","10"
"DED","7","10"
"DED","9","10"
"DEL","3","11"
"DEL","5","12"
"DEL","7","14"
"EQC","3","10"
"EQC","4","10"
"EVD","9","11"
"FAN","5","10"
"FMT","4","9"
"FMT","8","9"
"FMT","11","9"
"GG","4","11"
"GG","7","9"
"GG","10","10"
"GP","1","10"
"GP","4","9"
"GP","6","9"
"GP","7","9"
"GP","8","10"
"GP","9","11"
"GP","10","9"
"GP","11","11"
"GP","12","16"
"HOU","1","10"
"HOU","5","10"
"HOU","8","10"
"HOU","10","10"
"HOU","11","10"
"HOU","12","10"
"LAD","3","9"
"LAD","4","9"
"LAD","5","9"
"LAD","6","9"
"LAD","7","11"
"LS","1","9"
"LS","5","12"
"MTH","7","9"
"MTH","9","13"
"MTH","10","10"
"MTH","11","11"
"MTH","13","10"
"PIM","2","10"
"PIM","4","14"
"PIM","5","9"
"PIM","6","14"
"PIM","8","16"
"PIM","9","14"
"PRM","7","9"
"RUI","1","10"
"RUI","3","10"
"RUI","5","10"
"RUI","7","10"
"RUI","8","12"
"RUI","10","10"
"SA","4","9"
"SA","6","10"
"SA","9","10"
"WYO","1","10"
"WYO","3","10"
"WYO","4","10"
"WYO","5","9"
"WYO","9","10"
