"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-02-21","AQU","1","Dirt","Day's Humor"," 1 ","1","6-5","Kendrick Carmouche","John Kimmel"
"2021-02-21","AQU","1","Dirt","Mill Stone Creek"," 2 ","2","2-1","Eric Cancel","Edmund Davis"
"2021-02-21","AQU","1","Dirt","Lovelee Honor"," 3 ","3","15-1","Katie Davis","Rachel Sells"
"2021-02-21","AQU","1","Dirt","Trick the Universe"," 4 ","4","9-2","Benjamin Hernandez","Gregg Matties"
"2021-02-21","AQU","1","Dirt","Crystal Steps"," 5 ","5","20-1","Andre Worrie","Randi Persaud"
"2021-02-21","AQU","1","Dirt","Mia Calia"," 6 ","6","4-1","Luis Cardenas","Edmund Pringle"
"2021-02-21","AQU","2","Dirt","The King Cheek"," 1 ","1","6-1","Trevor McCarthy","Jamie Ness"
"2021-02-21","AQU","2","Dirt","Market Alert"," 2 ","2","8-5","Jorge Vargas, Jr.","James Ryerson"
"2021-02-21","AQU","2","Dirt","Horn of Plenty"," 3 ","3","7-2","Kendrick Carmouche","Rob Atras"
"2021-02-21","AQU","2","Dirt","Storm Shooter"," 4 ","4","6-5","Dylan Davis","Todd Pletcher"
"2021-02-21","AQU","2","Dirt","Halpert"," 5 ","5","12-1","Manuel Franco","Jeremiah Englehart"
"2021-02-21","AQU","3","Dirt","You've Got Male"," 1 ","1","12-1","Kendrick Carmouche","Michelle Nevin"
"2021-02-21","AQU","3","Dirt","Patty O'Marc"," 2 ","2","4-1","Eric Cancel","Linda Rice"
"2021-02-21","AQU","3","Dirt","Another Shot"," 3 ","3","3-1","Luis Cardenas","Kelly Breen"
"2021-02-21","AQU","3","Dirt","Bellamy Dolce"," 4 ","4","20-1","Andre Worrie","Bruce Levine"
"2021-02-21","AQU","3","Dirt","Eight Weeks Long"," 5 ","5","8-1","Trevor McCarthy","Mark Hennig"
"2021-02-21","AQU","3","Dirt","Bedazzling"," 6 ","6","3-1","Manuel Franco","Chad Summers"
"2021-02-21","AQU","3","Dirt","Tapitena"," 7 ","7","15-1","Luis Rodriguez Castro","Bruce Brown"
"2021-02-21","AQU","3","Dirt","Humpday"," 8 ","8","5-2","Dylan Davis","Raymond Handal"
"2021-02-21","AQU","4","Dirt","Orazio","1  ","4","15-1","Trevor McCarthy","Dylan Clarke"
"2021-02-21","AQU","4","Dirt","Alongcametheprince","1A ","7","15-1","Katie Davis","Dylan Clarke"
"2021-02-21","AQU","4","Dirt","Vitesse","2  ","1","6-1","Michael Luzzi","Wayne Potts"
"2021-02-21","AQU","4","Dirt","Mine the Coin","3  ","2","9-2","Kendrick Carmouche","Bruce Levine"
"2021-02-21","AQU","4","Dirt","Icy Dude","4  ","3","7-2","Luis Cardenas","Linda Rice"
"2021-02-21","AQU","4","Dirt","Classy Papa"," 5 ","5","8-1","Manuel Franco","Rob Atras"
"2021-02-21","AQU","4","Dirt","No Lime"," 6 ","6","5-2","Eric Cancel","Linda Rice"
"2021-02-21","AQU","4","Dirt","Blood Moon","7  ","8","5-1","Romero Maragh","Oscar Barrera, III"
"2021-02-21","AQU","4","Dirt","Smile Bryan","8  ","9","8-1","Dylan Davis","Orlando Noda"
"2021-02-21","AQU","5","Dirt","O'Trouble"," 1 ","1","9-2","Eric Cancel","Anthony Dutrow"
"2021-02-21","AQU","5","Dirt","Gozilla"," 2 ","2","2-1","Kendrick Carmouche","Mark Casse"
"2021-02-21","AQU","5","Dirt","Manolito"," 3 ","3","20-1","Manuel Franco","Alejandro Maymo"
"2021-02-21","AQU","5","Dirt","Runningwscissors"," 4 ","4","8-5","Dylan Davis","Jeffrey Englehart"
"2021-02-21","AQU","5","Dirt","Abuelo Paps"," 5 ","5","10-1","Jorge Vargas, Jr.","Marco Salazar"
"2021-02-21","AQU","5","Dirt","Rejected Again"," 6 ","6","3-1","Trevor McCarthy","Michael Maker"
"2021-02-21","AQU","6","Dirt","Becca's Wish"," 1 ","1","9-2","Jorge Vargas, Jr.","Jeremiah Englehart"
"2021-02-21","AQU","6","Dirt","Cause to Dream"," 2 ","2","5-1","Katie Davis","Neville Henry"
"2021-02-21","AQU","6","Dirt","Mun Luv"," 3 ","3","8-1","Dylan Davis","Raymond Handal"
"2021-02-21","AQU","6","Dirt","Saucy Cat"," 4 ","4","20-1","Pablo Morales","Shane Meyers"
"2021-02-21","AQU","6","Dirt","Maracuja"," 5 ","5","8-5","Kendrick Carmouche","Rob Atras"
"2021-02-21","AQU","6","Dirt","Up Seventyfour"," 6 ","6","6-1","Manuel Franco","Rob Atras"
"2021-02-21","AQU","6","Dirt","Despeight All Odds"," 7 ","7","3-1","Eric Cancel","Michael Miceli"
"2021-02-21","AQU","7","Dirt","Bad Guy","1  ","1","6-1","Jorge Vargas, Jr.","Rudy Rodriguez"
