"Track","RaceNumber","HorsesRunning"
"AZD","2","10"
"BTP","4","12"
"BTP","6","10"
"BTP","7","10"
"CBY","6","10"
"CBY","7","10"
"DED","1","10"
"DED","3","10"
"DED","4","10"
"DED","6","10"
"DED","7","9"
"DED","9","10"
"FL","7","9"
"FL","8","10"
"IND","7","11"
"IND","10","12"
"LAD","5","9"
"MNR","1","9"
"MNR","2","9"
"MNR","5","9"
"MNR","7","9"
"MNR","8","9"
"PEN","3","12"
"PEN","4","11"
"PEN","8","10"
"PID","8","9"
"PRX","7","11"
"PRX","9","13"
"PRX","10","9"
"TDN","2","10"
"TDN","7","9"
