"Track","RaceNumber","HorsesRunning"
"AP","7","12"
"CBY","5","9"
"CBY","7","9"
"CBY","8","9"
"DMR","3","9"
"DMR","5","14"
"DMR","8","13"
"DMR","10","11"
"ELP","2","9"
"ELP","3","9"
"ELP","4","9"
"ELP","5","10"
"ELP","7","13"
"ELP","8","11"
"ELP","9","9"
"GG","9","10"
"GP","1","10"
"GP","3","10"
"GP","5","10"
"GP","6","10"
"GP","8","11"
"LA","7","10"
"LAD","4","10"
"LAD","5","12"
"LAD","6","9"
"LAD","7","10"
"MNR","5","9"
"MNR","8","9"
"MTH","1","9"
"MTH","4","12"
"MTH","5","9"
"MTH","7","10"
"MTH","9","12"
"MTH","10","13"
"MTH","11","9"
"PIM","4","10"
"PIM","6","10"
"PIM","8","10"
"PRM","10","11"
"RUI","1","10"
"RUI","6","10"
"RUI","8","10"
"RUI","9","10"
"RUI","10","9"
"SAR","2","9"
"SAR","3","9"
"SAR","5","13"
"SAR","6","10"
"SAR","8","9"
"SAR","10","13"
"WYO","1","10"
"WYO","2","10"
"WYO","3","10"
"WYO","4","10"
"WYO","5","10"
"WYO","6","9"
"WYO","9","10"
"WYO","10","10"
"WYO","11","9"
