"Track","RaceNumber","HorsesRunning"
"AQU","4","9"
"AQU","5","9"
"AQU","7","10"
"AQU","8","10"
"AQU","9","14"
"CT","2","9"
"CT","4","11"
"CT","5","11"
"CT","6","12"
"CT","7","11"
"CT","8","13"
"CT","9","14"
"DED","2","9"
"DED","6","9"
"DED","8","9"
"DED","9","10"
"EQA","1","9"
"EQA","3","9"
"EQA","5","9"
"EQC","3","14"
"FG","6","9"
"FG","8","11"
"FG","9","13"
"GG","3","9"
"GP","5","10"
"GP","10","9"
"HOU","9","10"
"MVR","1","9"
"MVR","2","9"
"MVR","3","11"
"MVR","5","13"
"MVR","6","11"
"MVR","7","10"
"MVR","8","10"
"MVR","9","11"
"OP","1","9"
"OP","2","9"
"OP","3","11"
"OP","4","12"
"OP","5","12"
"OP","6","9"
"OP","7","14"
"OP","9","13"
"PEN","3","10"
"PEN","9","9"
"SA","3","9"
"SA","6","9"
"SA","8","14"
"SUN","1","12"
"SUN","2","9"
"SUN","3","9"
"SUN","4","9"
"SUN","5","9"
"SUN","6","9"
"SUN","7","9"
"SUN","8","12"
"SUN","9","11"
"TAM","5","9"
"TAM","7","12"
"TAM","8","10"
"TAM","9","11"
"TP","1","10"
"TP","2","10"
"TP","3","13"
"TP","4","14"
"TP","5","14"
"TP","6","14"
"TP","7","10"
"TP","8","13"
"TUP","1","12"
"TUP","2","9"
"TUP","3","9"
"TUP","5","9"
"TUP","6","10"
"TUP","7","12"
"TUP","8","12"
