"Track","RaceNumber","HorsesRunning"
"BC","6","19"
"BC","7","9"
"BC","8","18"
"BC","9","14"
"BC","10","20"
"BCC","1","12"
"BCC","2","9"
"BCD","2","11"
"BCT","1","16"
"BCT","2","18"
"BEL","1","13"
"BEL","2","9"
"BEL","6","11"
"BEL","8","9"
"BEL","10","16"
"CD","8","9"
"CD","9","9"
"CD","10","12"
"CT","3","9"
"CT","5","9"
"CT","6","9"
"CT","7","10"
"CT","8","9"
"DED","1","9"
"DED","3","12"
"DED","4","9"
"DED","5","10"
"DED","6","10"
"DED","7","9"
"DED","8","12"
"DED","9","12"
"DED","10","12"
"DMR","1","11"
"DMR","2","10"
"DMR","3","10"
"DMR","4","10"
"DMR","5","13"
"DMR","6","14"
"DMR","8","14"
"DMR","9","12"
"DMR","10","16"
"EQA","1","14"
"EQA","2","12"
"EQA","3","10"
"EQA","4","10"
"EQA","5","10"
"GG","2","11"
"GG","4","10"
"GG","7","9"
"GG","8","11"
"GG","9","10"
"GP","1","9"
"GP","5","10"
"GP","8","12"
"GP","10","10"
"HAW","1","12"
"HAW","3","14"
"HAW","5","14"
"HAW","8","11"
"LRL","2","16"
"LRL","5","11"
"LRL","6","16"
"LRL","7","14"
"LRL","8","10"
"LS","3","10"
"LS","4","12"
"PEN","1","10"
"PEN","3","9"
"PEN","8","9"
"RP","6","9"
"RP","7","11"
"RP","8","9"
"RP","9","12"
"TUP","4","10"
"TUP","5","10"
"TUP","6","10"
"TUP","7","9"
"TUP","8","12"
"WRD","4","10"
"WRD","6","10"
"WRD","7","9"
"WRD","8","10"
"WRD","9","10"
