"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-12-18","AQU","1","Dirt","Sul Pharoah"," 1 ","1","6-1","Eric Cancel","William Mott"
"2021-12-18","AQU","1","Dirt","Main Event"," 2 ","2","10-1","Manuel Franco","George Weaver"
"2021-12-18","AQU","1","Dirt","Smart Storm"," 3 ","3","12-1","Trevor McCarthy","Charlton Baker"
"2021-12-18","AQU","1","Dirt","Matt Doyle"," 4 ","4","3-1","Dylan Davis","Chad Summers"
"2021-12-18","AQU","1","Dirt","My Brother Cam"," 5 ","5","7-2","Jose Lezcano","Michael Dickinson"
"2021-12-18","AQU","1","Dirt","Iconic Adventure"," 6 ","6","4-1","Jorge Vargas, Jr.","William Mott"
"2021-12-18","AQU","1","Dirt","Early Voting"," 7 ","7","5-2","Jose Ortiz","Chad Brown"
"2021-12-18","AQU","2","Dirt","Full Moon Fever"," 1 ","1","10-1","Michael Luzzi","Carlos Martin"
"2021-12-18","AQU","2","Dirt","Make It in Ny"," 2 ","2","8-1","Manuel Franco","Richard Schosberg"
"2021-12-18","AQU","2","Dirt","Bar Fourteen"," 3 ","3","10-1","Eric Cancel","Natalia Lynch"
"2021-12-18","AQU","2","Dirt","Mister Winston"," 4 ","4","15-1","Raul Mena","Antonio Arriaga"
"2021-12-18","AQU","2","Dirt","Good Culture"," 5 ","5","6-1","Jose Lezcano","Gustavo Rodriguez"
"2021-12-18","AQU","2","Dirt","Sound Money"," 6 ","6","6-5","Kendrick Carmouche","Chad Brown"
"2021-12-18","AQU","2","Dirt","Great Workout"," 7 ","7","9-2","Dylan Davis","Rob Atras"
"2021-12-18","AQU","2","Dirt","Magnificent Chrome"," 8 ","8","20-1","Benjamin Hernandez","Randi Persaud"
"2021-12-18","AQU","2","Dirt","Forest Spirit"," 9 ","9","10-1","Trevor McCarthy","Wayne Potts"
"2021-12-18","AQU","3","Dirt","C. B Loves a Fight","1  ","8","10-1","Jalon Samuel","Orlando Noda"
"2021-12-18","AQU","3","Dirt","Nova Loves a Fight","1A ","10","10-1","Omar Hernandez Moreno","Orlando Noda"
"2021-12-18","AQU","3","Dirt","Pit Stop Man","2  ","1","10-1","Ruben Silvera","Edward Allard"
"2021-12-18","AQU","3","Dirt","Irie Spice","3  ","2","20-1","Benjamin Hernandez","Randi Persaud"
"2021-12-18","AQU","3","Dirt","Principality","4  ","3","6-1","Eric Cancel","George Weaver"
"2021-12-18","AQU","3","Dirt","Writeitontheice","5  ","4","10-1","Raul Mena","Rudy Rodriguez"
"2021-12-18","AQU","3","Dirt","St. Lukes","6  ","5","8-5","Jose Lezcano","Rudy Rodriguez"
"2021-12-18","AQU","3","Dirt","Rvindicated","7  ","6","8-1","Luis Rodriguez Castro","Rachael Keithan"
"2021-12-18","AQU","3","Dirt","R Boy Cheekum","8  ","7","30-1","Talbert Howell","Marcus Thompson"
"2021-12-18","AQU","3","Dirt","Illustrious"," 9 ","9","5-2","Trevor McCarthy","Thomas Morley"
"2021-12-18","AQU","4","Dirt","Happy Medium"," 1 ","1","1-1","Manuel Franco","Michelle Nevin"
"2021-12-18","AQU","4","Dirt","T Loves a Fight"," 2 ","2","10-1","Dylan Davis","Orlando Noda"
