"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-12-05","AQU","1","Outer turf","Chiachiarone"," 1 ","1","10-1","Jorge Vargas, Jr.","David Donk"
"2021-12-05","AQU","1","Outer turf","Favorite Impulse"," 2 ","2","15-1","Luis Rodriguez Castro","Bruce Grossman"
"2021-12-05","AQU","1","Outer turf","Frosted Bourbon"," 3 ","3","4-1","Eric Cancel","Mark Hennig"
"2021-12-05","AQU","1","Outer turf","Tami's Orchid"," 4 ","4","6-1","Manuel Franco","Bruce Brown"
"2021-12-05","AQU","1","Outer turf","Orma"," 5 ","5","12-1","Benjamin Hernandez","H. James Bond"
"2021-12-05","AQU","1","Outer turf","White Hot"," 6 ","6","30-1","Christian Ramos","Domenick Schettino"
"2021-12-05","AQU","1","Outer turf","Spun for Lu Lu"," 7 ","7","7-2","Javier Castellano","John Kimmel"
"2021-12-05","AQU","1","Outer turf","Live in Five"," 8 ","8","9-2","Kendrick Carmouche","Robert Falcone, Jr."
"2021-12-05","AQU","1","Outer turf","Angeloverthepulpit"," 9 ","9","50-1","Gary Richards","Chandradat Goberdhan"
"2021-12-05","AQU","1","Outer turf","Roxen","10 ","10","5-1","Trevor McCarthy","Edward Barker"
"2021-12-05","AQU","1","Outer turf","Love's Misery","11 ","11","4-1","Kendrick Carmouche","Rob Atras"
"2021-12-05","AQU","1","Outer turf","Decreed","12 ","12","30-1","Samuel Camacho, Jr.","Randi Persaud"
"2021-12-05","AQU","1","Outer turf","Barrel of Bliss","13 ","13","20-1","Jalon Samuel","James Ferraro"
"2021-12-05","AQU","1","Outer turf","New York Supreme","14 ","14","5-2","Trevor McCarthy","Rudy Rodriguez"
"2021-12-05","AQU","1","Outer turf","Phenomenal Woman","15 ","15","3-1","Dylan Davis","Christophe Clement"
"2021-12-05","AQU","1","Outer turf","Fancy Feline","16 ","16","4-1"," Rider TBA","H. James Bond"
"2021-12-05","AQU","2","Turf","Pony Soprano"," 1 ","1","12-1","Trevor McCarthy","Robert Falcone, Jr."
"2021-12-05","AQU","2","Turf","Ansel"," 2 ","2","6-1","Jorge Vargas, Jr.","William Mott"
"2021-12-05","AQU","2","Turf","Al's Rocket"," 3 ","3","2-1","Kendrick Carmouche","Todd Pletcher"
"2021-12-05","AQU","2","Turf","Cheeky Tico"," 4 ","4","30-1","Eric Cancel","Orlando Noda"
"2021-12-05","AQU","2","Turf","Order of Magnitude"," 5 ","5","5-1","Javier Castellano","Chad Brown"
