"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2021-06-13","BEL","MAIDEN CLAIMING($40,000) ","2","Hit the Nail","15-1"," 3 ","3","FTL","Musketier*Ger"
"2021-06-13","BEL","ALLOWANCE OPTIONAL CLAIMING($80,000) ","8","Kalifornia Queen (GER)","2-1"," 7 ","7","FTL","Lope de Vega*Ire"
"2021-06-13","BEL","MAIDEN CLAIMING($40,000) ","9","Empire Attraction","15-1"," 3 ","3","FTL","Empire Maker"
"2021-06-13","CBY","MAIDEN SPECIAL WEIGHT ","2","Jeepster","5-1"," 3 ","3","FTL","Tapiture"
"2021-06-13","CBY","MAIDEN CLAIMING($25,000) ","5","Bounding Beauty","8-1"," 5 ","5","FTL","Daaher"
"2021-06-13","CBY","MAIDEN CLAIMING($25,000) ","5","Ringaroundtherosie","9-2"," 9 ","9","FTL","The Visualiser"
"2021-06-13","EQC","MAIDEN CLAIMING($45,000) ","3","Basilia","4-1"," 8 ","8","FTL","Cinco Charlie"
"2021-06-13","EQC","MAIDEN SPECIAL WEIGHT ","4","B J's Spirit","5-1"," 3 ","3","FTL","Tom's Tribute"
"2021-06-13","EQC","MAIDEN SPECIAL WEIGHT ","4","Yah Yeeng","20-1"," 6 ","6","FTL","Scorewithcater"
"2021-06-13","FMT","MAIDEN ","2","Ew El Sentenario","3-1"," 1 ","1","FTL","Readi to Be Famous"
"2021-06-13","FMT","MAIDEN ","8","Wing Ding Doux","8-1"," 1 ","1","FTL","Easy Doux"
"2021-06-13","FMT","MAIDEN ","8","Hr Fast as You","5-1"," 4 ","4","FTL","Apollitical Spirit"
"2021-06-13","FMT","MAIDEN ","8","Western Shore","12-1"," 7 ","7","FTL","Coronado Cartel"
"2021-06-13","FMT","MAIDEN ","12","Painted Lady","12-1"," 5 ","5","FTL","Pyc Paint Your Wagon"
"2021-06-13","GG","MAIDEN CLAIMING($8,000) ","1","Evening Champagne","6-1"," 3 ","3","FTL","Indian Evening"
"2021-06-13","GG","ALLOWANCE OPTIONAL CLAIMING($50,000) ","6","Jungle Cry","9-5"," 2 ","2","FTL","Animal Kingdom"
"2021-06-13","GG","ALLOWANCE OPTIONAL CLAIMING($50,000) ","6","J T's Watch","10-1"," 3 ","3","FTL","Bold Chieftain"
"2021-06-13","GG","ALLOWANCE OPTIONAL CLAIMING($50,000) ","6","Tacoflavoredkisses","10-1"," 4 ","4","FTL","Distorted Humor"
"2021-06-13","GG","MAIDEN CLAIMING($8,000) ","7","Harbor Kitty","8-1"," 3 ","3","FTL","Gig Harbor"
"2021-06-13","GG","MAIDEN CLAIMING($8,000) ","7","Pivotal Fever","10-1"," 7 ","7","FTL","Stormin Fever"
"2021-06-13","GG","MAIDEN SPECIAL WEIGHT ","9","Excessive Cat","20-1"," 2 ","2","FTL","Sapphire Cat"
"2021-06-13","GG","MAIDEN SPECIAL WEIGHT ","9","Love of the Sport","10-1"," 9 ","9","FTL","The Factor"
"2021-06-13","GG","MAIDEN SPECIAL WEIGHT ","9","Frost Warning","20-1","11 ","11","FTL","Frosted"
"2021-06-13","GG","MAIDEN SPECIAL WEIGHT ","12","B J's Spirit","5-1"," 3 ","3","FTL","Tom's Tribute"
"2021-06-13","GG","MAIDEN SPECIAL WEIGHT ","12","Yah Yeeng","20-1"," 6 ","6","FTL","Scorewithcater"
"2021-06-13","GP","MAIDEN CLAIMING($12,500) ","1","The Gladiator (CHI)","15-1"," 4 ","4","FTL","Verrazano"
"2021-06-13","GP","MAIDEN CLAIMING($12,500) ","1","Prakriti","20-1","13 ","13","FTL","Constitution"
"2021-06-13","GP","MAIDEN CLAIMING($25,000) ","3","Chickapoo Princess","5-2"," 1 ","1","FTL","Upstart"
