"Track","RaceNumber","HorsesRunning"
"CT","6","9"
"CT","8","9"
"DED","3","12"
"DED","5","9"
"DED","6","9"
"DED","7","10"
"DED","8","9"
"DED","9","11"
"FG","5","9"
"FG","6","14"
"FG","8","11"
"FG","9","9"
"GP","5","9"
"GP","8","9"
"GP","10","9"
"MVR","5","9"
"MVR","6","9"
"MVR","8","11"
"PEN","3","12"
"PEN","6","10"
"PEN","10","11"
"PEN","11","10"
"PRX","4","9"
"PRX","5","10"
"PRX","8","9"
"PRX","10","9"
"TAM","6","10"
"TAM","7","10"
"TAM","9","10"
"TUP","4","9"
"TUP","6","12"
"TUP","7","12"
"TUP","8","12"
"TUP","9","9"
