"Track","RaceNumber","HorsesRunning"
"AP","8","11"
"BTP","7","9"
"CBY","7","9"
"CBY","8","9"
"CT","3","9"
"CT","4","11"
"CT","5","14"
"CT","8","13"
"DEL","4","9"
"DEL","5","14"
"DEL","6","9"
"DEL","7","9"
"EMD","6","9"
"EMD","7","11"
"EVD","4","11"
"EVD","8","9"
"HOU","1","10"
"HOU","3","10"
"HOU","4","10"
"HOU","5","10"
"HOU","6","9"
"HOU","7","9"
"HOU","8","10"
"HOU","9","10"
"HOU","10","10"
"IND","5","14"
"IND","7","14"
"IND","8","10"
"IND","9","14"
"IND","10","9"
"LS","5","9"
"LS","6","11"
"LS","8","12"
"LS","10","13"
"LS","11","12"
