"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2021-03-20","AQU","MAIDEN CLAIMING($40,000) ","1","King Moonracer","9-2"," 4 ","4","FTL","Mission Impazible"
"2021-03-20","AQU","ALLOWANCE OPTIONAL CLAIMING($80,000) ","4","Pleasure Luck","2-1"," 1 ","1","FTL","Carpe Diem"
"2021-03-20","AQU","MAIDEN SPECIAL WEIGHT ","9","Maybe I Know","20-1"," 7 ","7","FTL","Strong Mandate"
"2021-03-20","EQC","MAIDEN SPECIAL WEIGHT ","3","Batukhan (IRE)","8-1"," 7 ","7","FTL","Fastnet Rock*Aus"
"2021-03-20","EQC","MAIDEN SPECIAL WEIGHT ","4","Terry's Boy","9-2"," 3 ","3","FTL","Gold Aly"
"2021-03-20","EQC","MAIDEN SPECIAL WEIGHT ","4","Lil Miracle Man","5-1"," 7 ","7","FTL","Indian Evening"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","2","Road Bible","3-1"," 1 ","1","FTL","Pioneerof the Nile"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","3","Bourbon St Tappin","7-2"," 2 ","2","FTL","Tapiture"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","3","Micajah","4-1"," 7 ","7","FTL","Mass Media"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","3","Paynted Lover","20-1"," 9 ","9","FTL","Paynter"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","3","Cryptorithm","12-1","10 ","10","FTL","Algorithms"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","3","Inthealy","20-1","11 ","11","FTL","Half Ours"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","5","Russian Alphabet","30-1"," 1 ","1","FTL","Sky Mesa"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","5","Beduin Fighter","6-1"," 3 ","3","FTL","War Front"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","5","Mr Sippi","6-1"," 8 ","8","FTL","Runhappy"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","6","Snow House","4-1"," 4 ","4","FTL","Twirling Candy"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","6","Win Worthy","8-1"," 6 ","6","FTL","Noble Mission*GB"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","6","Temple City Blvd","20-1"," 7 ","7","FTL","Temple City"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","7","Belladora","12-1"," 2 ","2","FTL","Shackleford"
"2021-03-20","FG","MAIDEN SPECIAL WEIGHT ","7","Symptom","20-1"," 4 ","4","FTL","Runhappy"
