"Track","RaceNumber","HorsesRunning"
"BEL","1","10"
"BEL","3","9"
"BEL","4","9"
"BEL","6","9"
"BEL","8","10"
"BEL","9","13"
"CT","2","9"
"CT","4","9"
"CT","7","9"
"CT","8","10"
"CT","9","10"
"EMD","7","9"
"EMD","8","10"
"EVD","3","10"
"EVD","4","10"
"EVD","6","10"
"EVD","8","10"
"EVD","9","10"
"EVD","11","10"
"EVD","12","10"
"EVD","13","10"
"EVD","14","10"
"EVD","15","10"
"GPW","1","16"
"GPW","3","16"
"GPW","5","11"
"GPW","6","9"
"GPW","7","14"
"GPW","9","12"
"IND","4","14"
"IND","6","14"
"IND","8","14"
"IND","9","10"
"IND","11","12"
"KEE","1","9"
"KEE","2","9"
"KEE","3","9"
"KEE","5","9"
"KEE","6","15"
"KEE","8","11"
"KEE","9","16"
"LRL","2","16"
"LRL","4","13"
"LRL","6","16"
"LRL","8","9"
"PID","1","14"
"PID","2","14"
"PID","3","11"
"PID","4","11"
"PID","6","13"
"PID","7","13"
"PID","8","13"
"PID","9","13"
"PID","10","14"
"RP","2","12"
"RP","3","12"
"RP","4","10"
"RP","5","9"
"RP","6","14"
"RP","7","10"
"RP","9","14"
