"Track","RaceNumber","HorsesRunning"
"AQU","3","12"
"AQU","5","14"
"AQU","6","9"
"AQU","7","12"
"AQU","9","13"
"CT","4","9"
"CT","6","12"
"CT","9","10"
"DED","2","9"
"DED","3","10"
"DED","4","9"
"DED","5","9"
"DED","6","10"
"DED","8","10"
"DED","9","11"
"EQC","2","9"
"EQC","3","12"
"EQC","4","13"
"FG","2","10"
"FG","4","11"
"FG","6","10"
"FG","8","10"
"GG","8","9"
"GG","9","13"
"GP","1","11"
"GP","4","9"
"GP","6","9"
"GP","7","10"
"GP","9","9"
"GP","10","10"
"GP","11","16"
"HOU","6","10"
"LRL","5","9"
"MVR","3","9"
"MVR","8","9"
"MVR","9","12"
"OP","1","9"
"OP","2","11"
"OP","3","11"
"OP","4","10"
"OP","5","11"
"OP","6","14"
"OP","7","14"
"OP","9","13"
"SA","5","10"
"SA","7","9"
"SA","9","12"
"SUN","1","10"
"SUN","2","9"
"SUN","3","12"
"SUN","4","12"
"SUN","5","12"
"SUN","7","9"
"SUN","8","11"
"SUN","9","9"
"TAM","2","14"
"TAM","4","10"
"TAM","5","14"
"TAM","6","9"
"TAM","7","9"
"TAM","8","10"
"TAM","9","11"
"TAM","10","14"
"TP","1","14"
"TP","2","14"
"TP","3","9"
"TP","4","11"
"TP","5","12"
"TP","6","9"
"TP","7","13"
"TP","8","14"
