"Track","RaceNumber","HorsesRunning"
"BEL","1","9"
"BEL","3","11"
"BEL","4","9"
"BEL","5","12"
"BEL","6","16"
"BEL","9","14"
"CD","1","9"
"CD","4","17"
"CD","7","13"
"CD","8","13"
"CD","9","16"
"EDR","7","9"
"EQC","2","10"
"GG","7","9"
"GG","8","10"
"GP","5","13"
"GP","7","11"
"GP","8","9"
"GP","10","12"
"LAD","5","9"
"LS","4","9"
"LS","7","9"
"LS","9","10"
"LS","10","9"
"MNR","1","9"
"MNR","2","12"
"MNR","3","10"
"MNR","6","9"
"MNR","8","12"
"MTH","1","9"
"MTH","3","15"
"MTH","5","11"
"MTH","7","9"
"MTH","9","12"
"MTH","11","9"
"PIM","2","11"
"PIM","5","10"
"PIM","6","9"
"PIM","8","10"
"RUI","1","9"
"RUI","2","9"
"RUI","3","9"
"RUI","5","9"
"RUI","7","9"
"RUI","9","10"
