"Date","TrackID","RaceNumber","surfaceDescription","HorseName","ProgramNumber","PostPos","MLodds","JockeyFullName","trainerFullName"
"2021-05-03","FL","1","Dirt","Storm Alfeet"," 1 ","1","5-1","Jacqueline Davis","Gabriel Goodwin"
"2021-05-03","FL","1","Dirt","Boston Billy"," 2 ","2","6-1","Emanuel De Diego","Edward Babcock"
"2021-05-03","FL","1","Dirt","Mariner Qui"," 3 ","3","5-2","Tammi Piermarini","Charlton Baker"
"2021-05-03","FL","1","Dirt","Artful Lad"," 4 ","4","8-1","Joel Cruz","Rafael Rohena"
"2021-05-03","FL","1","Dirt","Who Is Jarett"," 5 ","5","4-5","Luis Perez","James Acquilano"
"2021-05-03","FL","2","Dirt","Classy Papa"," 1 ","1","5-2","Jose Baez","Jonathan Buckley"
"2021-05-03","FL","2","Dirt","Alongcametheprince"," 2 ","2","6-1","Jacqueline Davis","Dylan Clarke"
"2021-05-03","FL","2","Dirt","Duck Pond Road"," 3 ","3","8-1","Nazario Alvarado","Debra Breed"
"2021-05-03","FL","2","Dirt","Clare's Son Peter"," 4 ","4","8-1","Steven Fret","Stacy Torelli"
"2021-05-03","FL","2","Dirt","No Sense"," 5 ","5","4-1","Joel Cruz","Sal Iorio, Jr."
"2021-05-03","FL","2","Dirt","Tenency"," 6 ","6","7-5","John Davila, Jr.","Chris Englehart"
"2021-05-03","FL","3","Dirt","Schwarbertown"," 1 ","1","5-2","Joel Cruz","Rafael Rohena"
"2021-05-03","FL","3","Dirt","San Juan Diego"," 2 ","2","8-5","Michael Davila, Jr.","James Acquilano"
"2021-05-03","FL","3","Dirt","U Rock It"," 3 ","3","5-1","Andre Worrie","Alexandra Hillegass"
"2021-05-03","FL","3","Dirt","Son of Darkness"," 4 ","4","4-1","Oscar Gomez","Ronald Breed, Jr."
"2021-05-03","FL","3","Dirt","Dr. Lloyd"," 5 ","5","10-1","Nazario Alvarado","Carlos Dominguez"
"2021-05-03","FL","3","Dirt","Roll With My Posse"," 6 ","6","6-1","Luis Perez","Christopher Progno"
"2021-05-03","FL","4","Dirt","Artful Lad","   ","99","","Joel Cruz"," "
"2021-05-03","FL","4","Dirt","Narcissistic"," 1 ","1","15-1","Carlos Camilo","Alexandra Hillegass"
"2021-05-03","FL","4","Dirt","Saratoga Yogi"," 2 ","2","3-1","Jeremias Flores","Paul Barrow"
"2021-05-03","FL","4","Dirt","Tapitena"," 3 ","3","4-1","Andre Worrie","Jeremiah Englehart"
"2021-05-03","FL","4","Dirt","Soy Capitan"," 4 ","4","15-1","Harry Hernandez","Bruce Anderson"
"2021-05-03","FL","4","Dirt","Height"," 5 ","5","8-1","Tammi Piermarini","Karl Grusmark"
"2021-05-03","FL","4","Dirt","Indian's Getupngo"," 6 ","6","5-1","Samuel Cardona","Bruce Anderson"
"2021-05-03","FL","4","Dirt","Legend of Bam"," 7 ","7","8-1","Luis Perez","Christopher Progno"
"2021-05-03","FL","4","Dirt","Solar Zen","8  ","8","5-2","Oscar Gomez","Charlton Baker"
"2021-05-03","FL","5","Dirt","It's Hot Out"," 1 ","1","5-2","John Davila, Jr.","Chris Englehart"
"2021-05-03","FL","5","Dirt","Rico Capote"," 2 ","2","10-1","John Berrios","Harris Dukes"
"2021-05-03","FL","5","Dirt","Best Surprise"," 3 ","3","6-1","Michael Davila, Jr.","Katlynn Gutterson"
"2021-05-03","FL","5","Dirt","Rayo My King"," 4 ","4","10-1","Joel Sone","Rachel Sells"
"2021-05-03","FL","5","Dirt","Rally Cap"," 5 ","5","5-1","Oscar Gomez","Paul Barrow"
"2021-05-03","FL","5","Dirt","Pataz"," 6 ","6","3-1","Joel Cruz","Rafael Rohena"
"2021-05-03","FL","5","Dirt","Showmanship"," 7 ","7","4-1","Luis Perez","James Acquilano"
"2021-05-03","FL","6","Dirt","Papi's Baby Girl"," 1 ","1","2-1","John Davila, Jr.","Juan Vazquez"
"2021-05-03","FL","6","Dirt","Trivia"," 2 ","2","12-1","Jose Baez","Debra Breed"
"2021-05-03","FL","6","Dirt","Aurannian"," 3 ","3","6-1","Wilfredo Rohena","Jonathan Buckley"
"2021-05-03","FL","6","Dirt","Competion Queen"," 4 ","4","3-1","Harry Hernandez","Dylan Clarke"
"2021-05-03","FL","6","Dirt","Zia Adelia"," 5 ","5","15-1","Jacqueline Davis","Sal Iorio, Jr."
"2021-05-03","FL","6","Dirt","One Ticked Lady"," 6 ","6","8-1","Nazario Alvarado","Debra Breed"
"2021-05-03","FL","6","Dirt","Catskill Rivers"," 7 ","7","8-1","Luis Perez","Linda Dixon"
"2021-05-03","FL","6","Dirt","Empire Trolley"," 8 ","8","12-1","Carlos Camilo","Rachel Sells"
"2021-05-03","FL","6","Dirt","Flirtacious Kiss"," 9 ","9","4-1","Andre Worrie","Ralph D'Alessandro"
"2021-05-03","FL","7","Dirt","Grudge"," 1 ","1","5-2","Andre Worrie","Chris Englehart"
"2021-05-03","FL","7","Dirt","It Can"," 2 ","2","4-1","Joel Cruz","Rafael Rohena"
"2021-05-03","FL","7","Dirt","Single Verse"," 3 ","3","6-1","Wilfredo Rohena","Jonathan Buckley"
"2021-05-03","FL","7","Dirt","Quality Stones"," 4 ","4","8-5","John Davila, Jr.","Chris Englehart"
"2021-05-03","FL","7","Dirt","Bankers Beast"," 5 ","5","10-1","Tammi Piermarini","Christopher Progno"
"2021-05-03","FL","7","Dirt","Saloon Girl"," 6 ","6","5-1","Oscar Gomez","Michael Sabine"
"2021-05-03","FL","8","Dirt","Boston Girl"," 1 ","1","10-1","Tamay Alpander","Jacqueline Falk"
"2021-05-03","FL","8","Dirt","Miss Joseph"," 2 ","2","15-1","Samuel Cardona","Bruce Anderson"
"2021-05-03","FL","8","Dirt","She's So Golden"," 3 ","3","20-1","Nazario Alvarado","Debra Breed"
"2021-05-03","FL","8","Dirt","Ms Fifth Avenue"," 4 ","4","20-1","Carlos Camilo","Eduardo Maver, Jr."
"2021-05-03","FL","8","Dirt","Bley"," 5 ","5","8-1","Oscar Gomez","John Tebbutt"
"2021-05-03","FL","8","Dirt","Cashmere Queen"," 6 ","6","7-2","Luis Perez","Ronald Breed, Jr."
"2021-05-03","FL","8","Dirt","Bustin Free"," 7 ","7","10-1","John Berrios","Donna Bireta"
"2021-05-03","FL","8","Dirt","What Mightavebeen"," 8 ","8","5-1","Jeremias Flores","Paul Barrow"
"2021-05-03","FL","8","Dirt","Accattivante"," 9 ","9","5-1","John Davila, Jr.","Chris Englehart"
"2021-05-03","FL","8","Dirt","Becca's Wish","10 ","10","3-1","Andre Worrie","Jeremiah Englehart"
"2021-05-03","FL","8","Dirt","Virginia Doze","11 ","11","6-1","Emanuel De Diego","James Wright"
"2021-05-03","IND","1","Dirt","Iron Lady Away"," 1 ","1","12-1","Joseph Ramos","Daniel Pitts"
"2021-05-03","IND","1","Dirt","Miss Alejandra"," 2 ","2","7-5","Fernando De La Cruz","Michel Douaihy"
"2021-05-03","IND","1","Dirt","Belladora"," 3 ","3","12-1","Jesus Castanon","Ignacio Correas, IV"
"2021-05-03","IND","1","Dirt","Lilacs"," 4 ","4","8-1","Deshawn Parker","Kelsey Danner"
"2021-05-03","IND","1","Dirt","Thirteen Stripes"," 5 ","5","8-5","Jermaine Bridgmohan","Steven Asmussen"
"2021-05-03","IND","1","Dirt","Pioneer's Candy"," 6 ","6","5-1","Emmanuel Esquivel","Cipriano Contreras"
"2021-05-03","IND","2","Dirt","Defence Model"," 1 ","1","3-5","Joseph Ramos","Marvin Johnson"
"2021-05-03","IND","2","Dirt","Riley Rich"," 2 ","2","5-1","Thomas Pompell","Randy Klopp"
"2021-05-03","IND","2","Dirt","Punctuation"," 3 ","3","8-1","Marcelino Pedroza","Michael Lauer"
"2021-05-03","IND","2","Dirt","Even Money"," 4 ","4","15-1","Isaias Ayala","Randy Haffner"
"2021-05-03","IND","2","Dirt","Jennstone"," 5 ","5","4-1","Deshawn Parker","Michelle Elliott"
"2021-05-03","IND","2","Dirt","Go Rodney"," 6 ","6","15-1","Rodney Prescott","Randy Haffner"
"2021-05-03","IND","2","Dirt","Gold Buckle"," 7 ","7","30-1","Orlando Mojica","R. Patrick"
