"Date","TrackID","Raceclass","RaceNumber","HorseName","MorningLine","ProgramNumber","PostPos","Medication","SireName"
"2020-08-25","CBY","TRIALS ","6","Streak N Bandito","12-1"," 2 ","2","FTL","Incognito Bandito"
"2020-08-25","CBY","TRIALS ","7","Kowboy Alex","12-1"," 8 ","8","FTL","Prospect to the Top"
"2020-08-25","FL","MAIDEN SPECIAL WEIGHT ","6","Double D Day","10-1","11 ","11","FTL","Normandy Invasion"
"2020-08-25","FL","ALLOWANCE ","7","Vincent Gambini","20-1"," 9 ","9","FTL","Gemologist"
"2020-08-25","FP","MAIDEN SPECIAL WEIGHT ","5","Diamond Gucci","6-1"," 1 ","1","FTL","Country Be Gold"
"2020-08-25","FP","MAIDEN SPECIAL WEIGHT ","5","Swamp Witch Haddy","15-1"," 4 ","4","FTL","He's Had Enough"
"2020-08-25","FP","MAIDEN SPECIAL WEIGHT ","5","Jolie Ruler","5-1"," 9 ","9","FTL","Road Ruler"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","2","No Go West","15-1"," 2 ","2","FTL","Notional"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","2","Royal Icing","6-1"," 4 ","4","FTL","Skylord"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","4","Sudden Shift","9-5"," 7 ","7","FTL","Unbridled Express"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","5","Lisa's Legacy","6-1"," 2 ","2","FTL","Hard Spun"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","5","Sovereign Power","12-1"," 4 ","4","FTL","Wicked Strong"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","5","American Violet","20-1"," 6 ","6","FTL","Afleet Alex"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","5","Golden Voice","7-2"," 7 ","7","FTL","Golden Horn*GB"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","5","Be Patient","30-1"," 9 ","9","FTL","Mizzen Mast"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","5","Mishpocha","5-1","10 ","10","FTL","Speightstown"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","5","Red Bee","12-1","12 ","12","FTL","English Channel"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","5","Rockpaperscissors","2-1","13 ","13","FTL","Distorted Humor"
"2020-08-25","IND","MAIDEN SPECIAL WEIGHT ","5","Pertinacious Tiz","30-1","14 ","14","FTL","Declaration of War"
"2020-08-25","LAD","MAIDEN CLAIMING($5,000) ","7","Carterjameslove","20-1"," 2 ","2","FTL","Shermanesque"
"2020-08-25","LAD","MAIDEN CLAIMING($5,000) ","7","Coco Amod","20-1"," 5 ","5","FTL","Nownownow"
"2020-08-25","LAD","MAIDEN CLAIMING($5,000) ","7","Silky's Dance","12-1"," 6 ","6","FTL","Mister Dance"
"2020-08-25","MNR","MAIDEN SPECIAL WEIGHT ","3","Touch of Energy","8-1"," 5 ","5","FTL","Unbridled Energy"
"2020-08-25","MNR","MAIDEN SPECIAL WEIGHT ","7","Pflash of Red","2-1"," 5 ","5","FTL","Arcade"
"2020-08-25","PID","MAIDEN CLAIMING($5,000) ","4","Zoodles","5-2","2  ","10","FTL","Astrology"
"2020-08-25","PID","MAIDEN CLAIMING($5,000) ","4","Justlyrewarded","5-1","3  ","1","FTL","Field Commission"
"2020-08-25","PRX","MAIDEN CLAIMING($40,000) ","7","Misquillo","20-1"," 7 ","7","FTL","Misbah"
"2020-08-25","TDN","MAIDEN SPECIAL WEIGHT ","1","Princess Ex","6-1","2  ","1","FTL","Mobil"
